chrom,start,end,resolution
chrX,800000,2500000,100000
chrX,3100000,3300000,100000
chrX,8600000,10300000,100000
chrX,10800000,13700000,100000
chrX,15300000,15600000,100000
chrX,16300000,18900000,100000
chrX,19200000,20000000,100000
chrX,23300000,24800000,100000
chrX,37200000,41800000,100000
chrX,43400000,45100000,100000
chrX,46400000,50700000,100000
chrX,51400000,51900000,100000
chrX,52500000,55300000,100000
chrX,55400000,55600000,100000
chrX,55700000,56000000,100000
chrX,56200000,56900000,100000
chrX,57100000,57200000,100000
chrX,57300000,57800000,100000
chrX,62000000,62600000,100000
chrX,65200000,66500000,100000
chrX,67000000,69600000,100000
chrX,71200000,71800000,100000
chrX,72900000,73200000,100000
chrX,74200000,75100000,100000
chrX,93500000,94300000,100000
chrX,97600000,97700000,100000
chrX,98000000,98500000,100000
chrX,99100000,99500000,100000
chrX,99700000,100800000,100000
chrX,103500000,105400000,100000
chrX,106200000,108200000,100000
chrX,111900000,112200000,100000
chrX,114400000,116800000,100000
chrX,119800000,120400000,100000
chrX,125700000,126700000,100000
chrX,130500000,133200000,100000
chrX,145400000,147000000,100000
chrX,148800000,150900000,100000
chrX,152100000,153300000,100000
