chrom,start,end,resolution,label
chrX,1000000,2000000,500000,start_edge
chrX,2000000,3000000,500000,end_edge
chrX,8500000,9500000,500000,start_edge
chrX,9500000,10500000,500000,end_edge
chrX,12000000,13000000,500000,start_edge
chrX,13500000,14500000,500000,end_edge
chrX,14500000,15500000,500000,start_edge
chrX,18500000,19500000,500000,end_edge
chrX,19000000,20000000,500000,start_edge
chrX,19500000,20500000,500000,end_edge
chrX,23000000,24000000,500000,start_edge
chrX,23500000,24500000,500000,end_edge
chrX,39000000,40000000,500000,start_edge
chrX,41000000,42000000,500000,end_edge
chrX,46000000,47000000,500000,start_edge
chrX,57000000,58000000,500000,end_edge
chrX,72000000,73000000,500000,start_edge
chrX,141000000,142000000,500000,end_edge
chrX,144500000,145500000,500000,start_edge
chrX,146000000,147000000,500000,end_edge
chrX,148000000,149000000,500000,start_edge
chrX,150000000,151000000,500000,end_edge
