chrom,start,end,resolution
chrX,1000000,3500000,500000
chrX,8500000,13500000,500000
chrX,15500000,20000000,500000
chrX,21500000,25000000,500000
chrX,37500000,41500000,500000
chrX,43500000,50000000,500000
chrX,52500000,54500000,500000
chrX,62000000,62500000,500000
chrX,65000000,70000000,500000
chrX,71000000,71500000,500000
chrX,74000000,75000000,500000
chrX,82500000,83000000,500000
chrX,93000000,94500000,500000
chrX,97500000,98500000,500000
chrX,99000000,101000000,500000
chrX,103500000,105000000,500000
chrX,106000000,108000000,500000
chrX,111500000,112500000,500000
chrX,114500000,117000000,500000
chrX,119500000,120500000,500000
chrX,125500000,127000000,500000
chrX,128000000,133000000,500000
chrX,137000000,137500000,500000
chrX,144000000,145000000,500000
chrX,145500000,147000000,500000
chrX,148500000,151500000,500000
chrX,152500000,153000000,500000
