start,end,chrom,resolution
800000,1000000,chrX,100000
2500000,2700000,chrX,100000
3100000,3300000,chrX,100000
3400000,3600000,chrX,100000
8600000,8800000,chrX,100000
10400000,10800000,chrX,100000
11500000,11800000,chrX,100000
13700000,13900000,chrX,100000
14400000,15000000,chrX,100000
15600000,15800000,chrX,100000
16000000,16200000,chrX,100000
20000000,20200000,chrX,100000
21500000,21900000,chrX,100000
23300000,23500000,chrX,100000
24800000,25000000,chrX,100000
30400000,30800000,chrX,100000
37000000,37200000,chrX,100000
41900000,42100000,chrX,100000
42400000,42600000,chrX,100000
42700000,42900000,chrX,100000
43100000,43300000,chrX,100000
45100000,45500000,chrX,100000
45800000,46100000,chrX,100000
51900000,52200000,chrX,100000
52500000,52800000,chrX,100000
56700000,57400000,chrX,100000
57700000,57900000,chrX,100000
62000000,62200000,chrX,100000
62300000,62500000,chrX,100000
65300000,65800000,chrX,100000
66300000,66500000,chrX,100000
67000000,67200000,chrX,100000
67500000,67700000,chrX,100000
67800000,68000000,chrX,100000
68700000,69100000,chrX,100000
69300000,69500000,chrX,100000
71200000,71800000,chrX,100000
72900000,73300000,chrX,100000
74100000,74300000,chrX,100000
74900000,75100000,chrX,100000
77300000,77700000,chrX,100000
93700000,94300000,chrX,100000
97300000,97600000,chrX,100000
97700000,98000000,chrX,100000
98100000,98700000,chrX,100000
99200000,99500000,chrX,100000
99800000,100400000,chrX,100000
103600000,103800000,chrX,100000
103900000,104200000,chrX,100000
105000000,105200000,chrX,100000
106300000,106600000,chrX,100000
107000000,107300000,chrX,100000
107700000,108000000,chrX,100000
112000000,112300000,chrX,100000
114500000,114700000,chrX,100000
116400000,116700000,chrX,100000
116800000,117000000,chrX,100000
119800000,120000000,chrX,100000
120200000,120400000,chrX,100000
125600000,125800000,chrX,100000
126500000,126700000,chrX,100000
130500000,130700000,chrX,100000
133000000,133200000,chrX,100000
135900000,136300000,chrX,100000
145200000,145400000,chrX,100000
147000000,147500000,chrX,100000
148700000,148900000,chrX,100000
149000000,149400000,chrX,100000
151000000,151200000,chrX,100000
152400000,152600000,chrX,100000
153200000,153388924,chrX,100000
