chrom,start,end,resolution
chrX,500000,2400000,100000
chrX,12700000,13400000,100000
chrX,16400000,19400000,100000
chrX,19600000,19800000,100000
chrX,20800000,29000000,100000
chrX,37900000,40500000,100000
chrX,40600000,40800000,100000
chrX,40900000,41000000,100000
chrX,47000000,50400000,100000
chrX,53000000,54200000,100000
chrX,67400000,71400000,100000
chrX,71600000,74200000,100000
chrX,74800000,78700000,100000
chrX,78900000,79300000,100000
chrX,79400000,79600000,100000
chrX,79800000,81000000,100000
chrX,81200000,84800000,100000
chrX,85300000,85600000,100000
chrX,88100000,88300000,100000
chrX,89300000,91700000,100000
chrX,97800000,100500000,100000
chrX,103500000,104700000,100000
chrX,106400000,108900000,100000
chrX,109300000,109800000,100000
chrX,110300000,112200000,100000
chrX,114200000,116500000,100000
chrX,125900000,127000000,100000
chrX,128100000,130100000,100000
chrX,130500000,133200000,100000
chrX,135900000,136000000,100000
chrX,140300000,140400000,100000
chrX,145700000,150300000,100000
chrX,150400000,152200000,100000
