chrom,start,end,resolution,label
chrX,200000,400000,100000,start_edge
chrX,2300000,2500000,100000,end_edge
chrX,7800000,8000000,100000,start_edge
chrX,7900000,8100000,100000,end_edge
chrX,8300000,8500000,100000,start_edge
chrX,9200000,9400000,100000,end_edge
chrX,9300000,9500000,100000,start_edge
chrX,9700000,9900000,100000,end_edge
chrX,9900000,10100000,100000,start_edge
chrX,10300000,10500000,100000,end_edge
chrX,10700000,10900000,100000,start_edge
chrX,10900000,11100000,100000,end_edge
chrX,12300000,12500000,100000,start_edge
chrX,12400000,12600000,100000,end_edge
chrX,12500000,12700000,100000,start_edge
chrX,13100000,13300000,100000,end_edge
chrX,13200000,13400000,100000,start_edge
chrX,13600000,13800000,100000,end_edge
chrX,14900000,15100000,100000,start_edge
chrX,15600000,15800000,100000,end_edge
chrX,16300000,16500000,100000,start_edge
chrX,16900000,17100000,100000,end_edge
chrX,17100000,17300000,100000,start_edge
chrX,17500000,17700000,100000,end_edge
chrX,18000000,18200000,100000,start_edge
chrX,20200000,20400000,100000,end_edge
chrX,21300000,21500000,100000,start_edge
chrX,21900000,22100000,100000,end_edge
chrX,23200000,23400000,100000,start_edge
chrX,24500000,24700000,100000,end_edge
chrX,29900000,30100000,100000,start_edge
chrX,30600000,30800000,100000,end_edge
chrX,31700000,31900000,100000,start_edge
chrX,31800000,32000000,100000,end_edge
chrX,32700000,32900000,100000,start_edge
chrX,32900000,33100000,100000,end_edge
chrX,37300000,37500000,100000,start_edge
chrX,37500000,37700000,100000,end_edge
chrX,38000000,38200000,100000,start_edge
chrX,38100000,38300000,100000,end_edge
chrX,38300000,38500000,100000,start_edge
chrX,41200000,41400000,100000,end_edge
chrX,43800000,44000000,100000,start_edge
chrX,43900000,44100000,100000,end_edge
chrX,44700000,44900000,100000,start_edge
chrX,44800000,45000000,100000,end_edge
chrX,46500000,46700000,100000,start_edge
chrX,48200000,48400000,100000,end_edge
chrX,48300000,48500000,100000,start_edge
chrX,49900000,50100000,100000,end_edge
chrX,51500000,51700000,100000,start_edge
chrX,51800000,52000000,100000,end_edge
chrX,52700000,52900000,100000,start_edge
chrX,54200000,54400000,100000,end_edge
chrX,59400000,59600000,100000,start_edge
chrX,59700000,59900000,100000,end_edge
chrX,65700000,65900000,100000,start_edge
chrX,66200000,66400000,100000,end_edge
chrX,67000000,67200000,100000,start_edge
chrX,68700000,68900000,100000,end_edge
chrX,69100000,69300000,100000,start_edge
chrX,69700000,69900000,100000,end_edge
chrX,70900000,71100000,100000,start_edge
chrX,71000000,71200000,100000,end_edge
chrX,71200000,71400000,100000,start_edge
chrX,73000000,73200000,100000,end_edge
chrX,74200000,74400000,100000,start_edge
chrX,74500000,74700000,100000,end_edge
chrX,77000000,77200000,100000,start_edge
chrX,77100000,77300000,100000,end_edge
chrX,77300000,77500000,100000,start_edge
