chrom,start,end,resolution
chrX,500000,2500000,100000
chrX,8300000,9800000,100000
chrX,10000000,10400000,100000
chrX,10800000,11000000,100000
chrX,12400000,13200000,100000
chrX,13300000,13700000,100000
chrX,15000000,15700000,100000
chrX,16400000,17000000,100000
chrX,17200000,17600000,100000
chrX,18100000,20300000,100000
chrX,21400000,22000000,100000
chrX,23400000,24600000,100000
chrX,30000000,30700000,100000
chrX,32800000,33100000,100000
chrX,37400000,37500000,100000
chrX,38100000,38200000,100000
chrX,38400000,41300000,100000
chrX,43900000,44000000,100000
chrX,44800000,44900000,100000
chrX,46600000,48300000,100000
chrX,48400000,50100000,100000
chrX,50300000,50500000,100000
chrX,51600000,51800000,100000
chrX,52800000,54300000,100000
chrX,65800000,66300000,100000
chrX,67100000,68800000,100000
chrX,69200000,70000000,100000
chrX,71000000,71100000,100000
chrX,71200000,73100000,100000
chrX,74300000,74600000,100000
chrX,77100000,77200000,100000
chrX,77400000,78200000,100000
chrX,78800000,79100000,100000
chrX,79200000,79300000,100000
chrX,79400000,79500000,100000
chrX,79900000,80000000,100000
chrX,81800000,82000000,100000
chrX,82400000,84700000,100000
chrX,88900000,89100000,100000
chrX,89200000,89300000,100000
chrX,90000000,90500000,100000
chrX,90700000,91500000,100000
chrX,91600000,91800000,100000
chrX,97600000,100400000,100000
chrX,100800000,101000000,100000
chrX,103600000,104900000,100000
chrX,106400000,107200000,100000
chrX,108400000,110500000,100000
chrX,111800000,112200000,100000
chrX,114600000,116900000,100000
chrX,119900000,120300000,100000
chrX,125700000,126900000,100000
chrX,127000000,127200000,100000
chrX,128000000,128200000,100000
chrX,128300000,129100000,100000
chrX,129200000,129300000,100000
chrX,129400000,130000000,100000
chrX,130100000,132400000,100000
chrX,132500000,133100000,100000
chrX,137100000,137800000,100000
chrX,140300000,140400000,100000
chrX,140600000,140700000,100000
chrX,141900000,142300000,100000
chrX,143900000,144200000,100000
chrX,144300000,145100000,100000
chrX,145500000,146100000,100000
chrX,146200000,147100000,100000
chrX,148800000,149100000,100000
chrX,149300000,152100000,100000
