chrom,start,end,resolution,label
chrX,200000,400000,100000,start_edge
chrX,2200000,2400000,100000,end_edge
chrX,9800000,10000000,100000,start_edge
chrX,10100000,10300000,100000,end_edge
chrX,10600000,10800000,100000,start_edge
chrX,10900000,11100000,100000,end_edge
chrX,12400000,12600000,100000,start_edge
chrX,13500000,13700000,100000,end_edge
chrX,14900000,15100000,100000,start_edge
chrX,15700000,15900000,100000,end_edge
chrX,16000000,16200000,100000,start_edge
chrX,16900000,17100000,100000,end_edge
chrX,17100000,17300000,100000,start_edge
chrX,20100000,20300000,100000,end_edge
chrX,21400000,21600000,100000,start_edge
chrX,24800000,25000000,100000,end_edge
chrX,37300000,37500000,100000,start_edge
chrX,41500000,41700000,100000,end_edge
chrX,43600000,43800000,100000,start_edge
chrX,43700000,43900000,100000,end_edge
chrX,43800000,44000000,100000,start_edge
chrX,44900000,45100000,100000,end_edge
chrX,46400000,46600000,100000,start_edge
chrX,50100000,50300000,100000,end_edge
chrX,50300000,50500000,100000,start_edge
chrX,50500000,50700000,100000,end_edge
chrX,52600000,52800000,100000,start_edge
chrX,54200000,54400000,100000,end_edge
chrX,62100000,62300000,100000,start_edge
chrX,62400000,62600000,100000,end_edge
chrX,65300000,65500000,100000,start_edge
chrX,66400000,66600000,100000,end_edge
chrX,67000000,67200000,100000,start_edge
chrX,71000000,71200000,100000,end_edge
chrX,71700000,71900000,100000,start_edge
chrX,74100000,74300000,100000,end_edge
chrX,74700000,74900000,100000,start_edge
chrX,77200000,77400000,100000,end_edge
chrX,78000000,78200000,100000,start_edge
chrX,79800000,80000000,100000,end_edge
chrX,81200000,81400000,100000,start_edge
chrX,88900000,89100000,100000,end_edge
chrX,90000000,90200000,100000,start_edge
chrX,90600000,90800000,100000,end_edge
chrX,91300000,91500000,100000,start_edge
chrX,91800000,92000000,100000,end_edge
chrX,97500000,97700000,100000,start_edge
chrX,100700000,100900000,100000,end_edge
chrX,103600000,103800000,100000,start_edge
chrX,105100000,105300000,100000,end_edge
chrX,106200000,106400000,100000,start_edge
chrX,107100000,107300000,100000,end_edge
chrX,107500000,107700000,100000,start_edge
chrX,108000000,108200000,100000,end_edge
chrX,111600000,111800000,100000,start_edge
chrX,112100000,112300000,100000,end_edge
chrX,114600000,114800000,100000,start_edge
chrX,116900000,117100000,100000,end_edge
chrX,119500000,119700000,100000,start_edge
chrX,120300000,120500000,100000,end_edge
chrX,125600000,125800000,100000,start_edge
chrX,127300000,127500000,100000,end_edge
chrX,127900000,128100000,100000,start_edge
chrX,129900000,130100000,100000,end_edge
chrX,130400000,130600000,100000,start_edge
chrX,133200000,133400000,100000,end_edge
chrX,135700000,135900000,100000,start_edge
chrX,136200000,136400000,100000,end_edge
chrX,145300000,145500000,100000,start_edge
chrX,147100000,147300000,100000,end_edge
chrX,148600000,148800000,100000,start_edge
chrX,152100000,152300000,100000,end_edge
