chrom,start,end
chrX,600000,1100000
chrX,1200000,2600000
chrX,2700000,3300000
chrX,8800000,9000000
chrX,9200000,9300000
chrX,12800000,12900000
chrX,16200000,16600000
chrX,17400000,17500000
chrX,17800000,18800000
chrX,18900000,19100000
chrX,19500000,19800000
chrX,23400000,24000000
chrX,24100000,24300000
chrX,38000000,38100000
chrX,38400000,38500000
chrX,39100000,40600000
chrX,40700000,41400000
chrX,44200000,45400000
chrX,45700000,45900000
chrX,46300000,47700000
chrX,47800000,51900000
chrX,52000000,52500000
chrX,52600000,56700000
chrX,56800000,57300000
chrX,57400000,57700000
chrX,65100000,65500000
chrX,65600000,66600000
chrX,67100000,69300000
chrX,71200000,71300000
chrX,71400000,71500000
chrX,74100000,74600000
chrX,88800000,88900000
chrX,91600000,91700000
chrX,93200000,94600000
chrX,96900000,97100000
chrX,97300000,97400000
chrX,97500000,98200000
chrX,99200000,100300000
chrX,100700000,100900000
chrX,103400000,104700000
chrX,106300000,108700000
chrX,109300000,109600000
chrX,110500000,111300000
chrX,111500000,112100000
chrX,114500000,116800000
chrX,119700000,120900000
chrX,121100000,121200000
chrX,125600000,126600000
chrX,126800000,127100000
chrX,127900000,134000000
chrX,134100000,134600000
chrX,134700000,135300000
chrX,135500000,139000000
chrX,139100000,139200000
chrX,139300000,139600000
chrX,140900000,141500000
chrX,141700000,141800000
chrX,142500000,142600000
chrX,143400000,143500000
chrX,143700000,143900000
chrX,144300000,145000000
chrX,145100000,147100000
chrX,147200000,147300000
chrX,147500000,147700000
chrX,148700000,150200000
chrX,150500000,150600000
chrX,152200000,153200000
