chrom,start,end,resolution
chrX,300000,2300000,100000
chrX,17900000,18300000,100000
chrX,19000000,20100000,100000
chrX,20800000,28700000,100000
chrX,37200000,40200000,100000
chrX,40300000,40400000,100000
chrX,47200000,51500000,100000
chrX,67600000,71100000,100000
chrX,71700000,74300000,100000
chrX,74800000,77300000,100000
chrX,78300000,79600000,100000
chrX,79800000,80800000,100000
chrX,81800000,83300000,100000
chrX,83800000,84300000,100000
chrX,90100000,91800000,100000
chrX,98000000,101800000,100000
chrX,103100000,105400000,100000
chrX,106200000,107900000,100000
chrX,108400000,109000000,100000
chrX,109100000,109600000,100000
chrX,113000000,118800000,100000
chrX,120200000,120300000,100000
chrX,125900000,127600000,100000
chrX,127700000,135400000,100000
chrX,137600000,137700000,100000
chrX,137800000,137900000,100000
chrX,138200000,139400000,100000
chrX,139900000,140400000,100000
chrX,140500000,141200000,100000
chrX,145100000,145200000,100000
chrX,145300000,152000000,100000
