start,end,chrom,resolution
1000000,3000000,chrX,100000
9000000,10500000,chrX,100000
17500000,21500000,chrX,100000
28000000,29000000,chrX,100000
29500000,31500000,chrX,100000
36500000,37500000,chrX,100000
39500000,40500000,chrX,100000
45000000,46000000,chrX,100000
47500000,48500000,chrX,100000
49500000,51000000,chrX,100000
52000000,53000000,chrX,100000
57000000,58000000,chrX,100000
67500000,68500000,chrX,100000
77000000,78000000,chrX,100000
78500000,82000000,chrX,100000
84000000,85000000,chrX,100000
89500000,90500000,chrX,100000
91500000,92500000,chrX,100000
97500000,98500000,chrX,100000
101500000,102500000,chrX,100000
104000000,105500000,chrX,100000
109500000,110500000,chrX,100000
115500000,116500000,chrX,100000
119500000,121000000,chrX,100000
125500000,126500000,chrX,100000
135000000,136000000,chrX,100000
137500000,138500000,chrX,100000
139000000,141500000,chrX,100000
144000000,146500000,chrX,100000
149500000,150500000,chrX,100000
