chrom,start,end,resolution
chrX,1000000,2500000,500000
chrX,10000000,11000000,500000
chrX,13000000,13500000,500000
chrX,15000000,17000000,500000
chrX,17500000,20500000,500000
chrX,21500000,25000000,500000
chrX,37500000,41500000,500000
chrX,44000000,45000000,500000
chrX,46500000,50000000,500000
chrX,52500000,57500000,500000
chrX,65500000,66500000,500000
chrX,67000000,69500000,500000
chrX,70500000,74000000,500000
chrX,74500000,77000000,500000
chrX,79000000,79500000,500000
chrX,81500000,89000000,500000
chrX,90000000,92000000,500000
chrX,97500000,100500000,500000
chrX,104000000,104500000,500000
chrX,106500000,107000000,500000
chrX,107500000,108000000,500000
chrX,111500000,112000000,500000
chrX,114500000,117000000,500000
chrX,119500000,120500000,500000
chrX,126000000,127500000,500000
chrX,128000000,130000000,500000
chrX,130500000,133500000,500000
chrX,136000000,136500000,500000
chrX,146000000,147000000,500000
chrX,149500000,150000000,500000
