chrom,start,end,resolution
chrX,800000,3400000,100000
chrX,8300000,13400000,100000
chrX,15000000,20300000,100000
chrX,21600000,24600000,100000
chrX,30000000,30600000,100000
chrX,31100000,31500000,100000
chrX,37600000,38200000,100000
chrX,38300000,41600000,100000
chrX,43500000,45900000,100000
chrX,46200000,48000000,100000
chrX,48400000,49200000,100000
chrX,49700000,50000000,100000
chrX,50400000,50800000,100000
chrX,52700000,54400000,100000
chrX,62200000,62400000,100000
chrX,63500000,63600000,100000
chrX,65500000,65600000,100000
chrX,65800000,66600000,100000
chrX,67000000,69700000,100000
chrX,71000000,71700000,100000
chrX,72100000,72200000,100000
chrX,73000000,73100000,100000
chrX,74100000,74900000,100000
chrX,77400000,77600000,100000
chrX,77900000,78200000,100000
chrX,80900000,81400000,100000
chrX,81500000,82200000,100000
chrX,82600000,83200000,100000
chrX,83300000,83600000,100000
chrX,84100000,84500000,100000
chrX,88500000,89200000,100000
chrX,90000000,90400000,100000
chrX,93300000,93400000,100000
chrX,93700000,94000000,100000
chrX,94100000,94300000,100000
chrX,97400000,98800000,100000
chrX,99100000,100500000,100000
chrX,100700000,101000000,100000
chrX,102600000,102700000,100000
chrX,103600000,104900000,100000
chrX,106300000,107600000,100000
chrX,109400000,109600000,100000
chrX,111500000,111600000,100000
chrX,111700000,112200000,100000
chrX,114600000,116500000,100000
chrX,116600000,116700000,100000
chrX,119800000,120300000,100000
chrX,125800000,127600000,100000
chrX,127800000,130100000,100000
chrX,130200000,130300000,100000
chrX,130600000,131500000,100000
chrX,131600000,131900000,100000
chrX,132000000,132400000,100000
chrX,132600000,132700000,100000
chrX,132800000,133100000,100000
chrX,135900000,136200000,100000
chrX,137100000,137500000,100000
chrX,137600000,137700000,100000
chrX,140800000,140900000,100000
chrX,144500000,144700000,100000
chrX,145500000,146800000,100000
chrX,146900000,147000000,100000
chrX,148900000,152200000,100000
