chrom,start,end,resolution
chrX,700000,2400000,100000
chrX,12700000,13400000,100000
chrX,16400000,19400000,100000
chrX,19600000,19800000,100000
chrX,20800000,29000000,100000
chrX,38000000,40400000,100000
chrX,40900000,41000000,100000
chrX,47000000,50600000,100000
chrX,53100000,54100000,100000
chrX,67400000,70000000,100000
chrX,70200000,71400000,100000
chrX,71600000,74300000,100000
chrX,74800000,78500000,100000
chrX,80000000,81100000,100000
chrX,81200000,84900000,100000
chrX,85200000,85700000,100000
chrX,87400000,87500000,100000
chrX,88100000,88300000,100000
chrX,89300000,91700000,100000
chrX,97800000,100500000,100000
chrX,103500000,104700000,100000
chrX,106400000,108900000,100000
chrX,109300000,109900000,100000
chrX,110400000,112200000,100000
chrX,114200000,116500000,100000
chrX,125900000,126900000,100000
chrX,128100000,130200000,100000
chrX,130500000,133200000,100000
chrX,135800000,136100000,100000
chrX,140300000,140400000,100000
chrX,145700000,148500000,100000
chrX,148600000,150300000,100000
chrX,150700000,152100000,100000
