chrom,start,end,resolution,label
chrX,500000,700000,100000,start_edge
chrX,2500000,2700000,100000,end_edge
chrX,3100000,3300000,100000,start_edge
chrX,3400000,3600000,100000,end_edge
chrX,4000000,4200000,100000,start_edge
chrX,4600000,4800000,100000,end_edge
chrX,6500000,6700000,100000,start_edge
chrX,7000000,7200000,100000,end_edge
chrX,7200000,7400000,100000,start_edge
chrX,7500000,7700000,100000,end_edge
chrX,8200000,8400000,100000,start_edge
chrX,10300000,10500000,100000,end_edge
chrX,10600000,10800000,100000,start_edge
chrX,11300000,11500000,100000,end_edge
chrX,12300000,12500000,100000,start_edge
chrX,13600000,13800000,100000,end_edge
chrX,14800000,15000000,100000,start_edge
chrX,15800000,16000000,100000,end_edge
chrX,16200000,16400000,100000,start_edge
chrX,17500000,17700000,100000,end_edge
chrX,17900000,18100000,100000,start_edge
chrX,20300000,20500000,100000,end_edge
chrX,21200000,21400000,100000,start_edge
chrX,21900000,22100000,100000,end_edge
chrX,23200000,23400000,100000,start_edge
chrX,24600000,24800000,100000,end_edge
chrX,26900000,27100000,100000,start_edge
chrX,27100000,27300000,100000,end_edge
chrX,29900000,30100000,100000,start_edge
chrX,31300000,31500000,100000,end_edge
chrX,31700000,31900000,100000,start_edge
chrX,31800000,32000000,100000,end_edge
chrX,32700000,32900000,100000,start_edge
chrX,32800000,33000000,100000,end_edge
chrX,37200000,37400000,100000,start_edge
chrX,37800000,38000000,100000,end_edge
chrX,38000000,38200000,100000,start_edge
chrX,38100000,38300000,100000,end_edge
chrX,38200000,38400000,100000,start_edge
chrX,41600000,41800000,100000,end_edge
chrX,43300000,43500000,100000,start_edge
chrX,45100000,45300000,100000,end_edge
chrX,45400000,45600000,100000,start_edge
chrX,45700000,45900000,100000,end_edge
chrX,46200000,46400000,100000,start_edge
chrX,56800000,57000000,100000,end_edge
chrX,56900000,57100000,100000,start_edge
chrX,57300000,57500000,100000,end_edge
chrX,57400000,57600000,100000,start_edge
chrX,57500000,57700000,100000,end_edge
chrX,63600000,63800000,100000,start_edge
chrX,64000000,64200000,100000,end_edge
chrX,64100000,64300000,100000,start_edge
chrX,64200000,64400000,100000,end_edge
chrX,64400000,64600000,100000,start_edge
chrX,64700000,64900000,100000,end_edge
chrX,64900000,65100000,100000,start_edge
chrX,66500000,66700000,100000,end_edge
chrX,66900000,67100000,100000,start_edge
chrX,68700000,68900000,100000,end_edge
chrX,68800000,69000000,100000,start_edge
chrX,69700000,69900000,100000,end_edge
chrX,71100000,71300000,100000,start_edge
chrX,72700000,72900000,100000,end_edge
chrX,72800000,73000000,100000,start_edge
chrX,73000000,73200000,100000,end_edge
chrX,74100000,74300000,100000,start_edge
chrX,74800000,75000000,100000,end_edge
chrX,77000000,77200000,100000,start_edge
chrX,77100000,77300000,100000,end_edge
chrX,77300000,77500000,100000,start_edge
chrX,77700000,77900000,100000,end_edge
chrX,77800000,78000000,100000,start_edge
chrX,77900000,78100000,100000,end_edge
chrX,82600000,82800000,100000,start_edge
chrX,82800000,83000000,100000,end_edge
chrX,93000000,93200000,100000,start_edge
chrX,93600000,93800000,100000,end_edge
chrX,97500000,97700000,100000,start_edge
chrX,98500000,98700000,100000,end_edge
chrX,99100000,99300000,100000,start_edge
chrX,100300000,100500000,100000,end_edge
chrX,100700000,100900000,100000,start_edge
chrX,101100000,101300000,100000,end_edge
chrX,102400000,102600000,100000,start_edge
chrX,102500000,102700000,100000,end_edge
chrX,103400000,103600000,100000,start_edge
chrX,105300000,105500000,100000,end_edge
chrX,106100000,106300000,100000,start_edge
chrX,107100000,107300000,100000,end_edge
chrX,107700000,107900000,100000,start_edge
chrX,107800000,108000000,100000,end_edge
chrX,108200000,108400000,100000,start_edge
chrX,110400000,110600000,100000,end_edge
chrX,111800000,112000000,100000,start_edge
chrX,112100000,112300000,100000,end_edge
chrX,114500000,114700000,100000,start_edge
chrX,116900000,117100000,100000,end_edge
chrX,119700000,119900000,100000,start_edge
chrX,120300000,120500000,100000,end_edge
chrX,122400000,122600000,100000,start_edge
chrX,122500000,122700000,100000,end_edge
chrX,125500000,125700000,100000,start_edge
chrX,126600000,126800000,100000,end_edge
chrX,126700000,126900000,100000,start_edge
chrX,126800000,127000000,100000,end_edge
chrX,128200000,128400000,100000,start_edge
chrX,128900000,129100000,100000,end_edge
chrX,129400000,129600000,100000,start_edge
chrX,133000000,133200000,100000,end_edge
chrX,135800000,136000000,100000,start_edge
chrX,136100000,136300000,100000,end_edge
chrX,136800000,137000000,100000,start_edge
chrX,136900000,137100000,100000,end_edge
chrX,137000000,137200000,100000,start_edge
chrX,137500000,137700000,100000,end_edge
chrX,141800000,142000000,100000,start_edge
chrX,142300000,142500000,100000,end_edge
chrX,143800000,144000000,100000,start_edge
chrX,144100000,144300000,100000,end_edge
chrX,144300000,144500000,100000,start_edge
chrX,147000000,147200000,100000,end_edge
chrX,148700000,148900000,100000,start_edge
chrX,151100000,151300000,100000,end_edge
chrX,151700000,151900000,100000,start_edge
chrX,152100000,152300000,100000,end_edge
chrX,152200000,152400000,100000,start_edge
chrX,152300000,152500000,100000,end_edge
chrX,152700000,152900000,100000,start_edge
chrX,152900000,153100000,100000,end_edge
