chrom,start,end,resolution,label
chrX,900000,1100000,100000,start_edge
chrX,1400000,1600000,100000,end_edge
chrX,1500000,1700000,100000,start_edge
chrX,3300000,3500000,100000,end_edge
chrX,8300000,8500000,100000,start_edge
chrX,13300000,13500000,100000,end_edge
chrX,15200000,15400000,100000,start_edge
chrX,17700000,17900000,100000,end_edge
chrX,17800000,18000000,100000,start_edge
chrX,20200000,20400000,100000,end_edge
chrX,21500000,21700000,100000,start_edge
chrX,24800000,25000000,100000,end_edge
chrX,30300000,30500000,100000,start_edge
chrX,30400000,30600000,100000,end_edge
chrX,31000000,31200000,100000,start_edge
chrX,31200000,31400000,100000,end_edge
chrX,37500000,37700000,100000,start_edge
chrX,38100000,38300000,100000,end_edge
chrX,38300000,38500000,100000,start_edge
chrX,41600000,41800000,100000,end_edge
chrX,43400000,43600000,100000,start_edge
chrX,45800000,46000000,100000,end_edge
chrX,46100000,46300000,100000,start_edge
chrX,49200000,49400000,100000,end_edge
chrX,49600000,49800000,100000,start_edge
chrX,49900000,50100000,100000,end_edge
chrX,50300000,50500000,100000,start_edge
chrX,50600000,50800000,100000,end_edge
chrX,52500000,52700000,100000,start_edge
chrX,54300000,54500000,100000,end_edge
chrX,60000000,60200000,100000,start_edge
chrX,60100000,60300000,100000,end_edge
chrX,60200000,60400000,100000,start_edge
chrX,60300000,60500000,100000,end_edge
chrX,60500000,60700000,100000,start_edge
chrX,60600000,60800000,100000,end_edge
chrX,62000000,62200000,100000,start_edge
chrX,62500000,62700000,100000,end_edge
chrX,63300000,63500000,100000,start_edge
chrX,63500000,63700000,100000,end_edge
chrX,64400000,64600000,100000,start_edge
chrX,64600000,64800000,100000,end_edge
chrX,65000000,65200000,100000,start_edge
chrX,69700000,69900000,100000,end_edge
chrX,70900000,71100000,100000,start_edge
chrX,71000000,71200000,100000,end_edge
chrX,71100000,71300000,100000,start_edge
chrX,71600000,71800000,100000,end_edge
chrX,72000000,72200000,100000,start_edge
chrX,72100000,72300000,100000,end_edge
chrX,72900000,73100000,100000,start_edge
chrX,73000000,73200000,100000,end_edge
chrX,74000000,74200000,100000,start_edge
chrX,74800000,75000000,100000,end_edge
chrX,77300000,77500000,100000,start_edge
chrX,77500000,77700000,100000,end_edge
chrX,77800000,78000000,100000,start_edge
chrX,78000000,78200000,100000,end_edge
chrX,81700000,81900000,100000,start_edge
chrX,81900000,82100000,100000,end_edge
chrX,82600000,82800000,100000,start_edge
chrX,82800000,83000000,100000,end_edge
chrX,88400000,88600000,100000,start_edge
chrX,88500000,88700000,100000,end_edge
chrX,88800000,89000000,100000,start_edge
chrX,88900000,89100000,100000,end_edge
chrX,93100000,93300000,100000,start_edge
chrX,94500000,94700000,100000,end_edge
chrX,97200000,97400000,100000,start_edge
chrX,98400000,98600000,100000,end_edge
chrX,99100000,99300000,100000,start_edge
chrX,101000000,101200000,100000,end_edge
chrX,102400000,102600000,100000,start_edge
chrX,102600000,102800000,100000,end_edge
chrX,103100000,103300000,100000,start_edge
chrX,105300000,105500000,100000,end_edge
chrX,106100000,106300000,100000,start_edge
chrX,107900000,108100000,100000,end_edge
chrX,108300000,108500000,100000,start_edge
chrX,108400000,108600000,100000,end_edge
chrX,109200000,109400000,100000,start_edge
chrX,109500000,109700000,100000,end_edge
chrX,111400000,111600000,100000,start_edge
chrX,112100000,112300000,100000,end_edge
chrX,114200000,114400000,100000,start_edge
chrX,116900000,117100000,100000,end_edge
chrX,119300000,119500000,100000,start_edge
chrX,119600000,119800000,100000,end_edge
chrX,119700000,119900000,100000,start_edge
chrX,120700000,120900000,100000,end_edge
chrX,121000000,121200000,100000,start_edge
chrX,121400000,121600000,100000,end_edge
chrX,125500000,125700000,100000,start_edge
chrX,126700000,126900000,100000,end_edge
chrX,126800000,127000000,100000,start_edge
chrX,127200000,127400000,100000,end_edge
chrX,127700000,127900000,100000,start_edge
chrX,128000000,128200000,100000,end_edge
chrX,128200000,128400000,100000,start_edge
chrX,129200000,129400000,100000,end_edge
chrX,129300000,129500000,100000,start_edge
chrX,133100000,133300000,100000,end_edge
chrX,134700000,134900000,100000,start_edge
chrX,134800000,135000000,100000,end_edge
chrX,135800000,136000000,100000,start_edge
chrX,136100000,136300000,100000,end_edge
chrX,137000000,137200000,100000,start_edge
chrX,137600000,137800000,100000,end_edge
chrX,143600000,143800000,100000,start_edge
chrX,144900000,145100000,100000,end_edge
chrX,145100000,145300000,100000,start_edge
chrX,147000000,147200000,100000,end_edge
chrX,148700000,148900000,100000,start_edge
chrX,151500000,151700000,100000,end_edge
chrX,151600000,151800000,100000,start_edge
chrX,151800000,152000000,100000,end_edge
