chrom,start,end,resolution
chrX,500000,800000,100000
chrX,900000,1200000,100000
chrX,1300000,2400000,100000
chrX,3300000,3500000,100000
chrX,7900000,8000000,100000
chrX,8900000,9800000,100000
chrX,12400000,13700000,100000
chrX,15000000,15100000,100000
chrX,15300000,15700000,100000
chrX,16200000,16700000,100000
chrX,17300000,17600000,100000
chrX,18000000,18200000,100000
chrX,18300000,18400000,100000
chrX,18500000,18700000,100000
chrX,19100000,19200000,100000
chrX,19600000,20000000,100000
chrX,23500000,23600000,100000
chrX,23700000,23900000,100000
chrX,38100000,38200000,100000
chrX,39600000,41500000,100000
chrX,46400000,50900000,100000
chrX,51100000,52000000,100000
chrX,52100000,56300000,100000
chrX,56400000,56800000,100000
chrX,56900000,57200000,100000
chrX,57500000,57800000,100000
chrX,72900000,74100000,100000
chrX,74500000,74700000,100000
chrX,74900000,76000000,100000
chrX,76300000,76400000,100000
chrX,76500000,76600000,100000
chrX,76700000,76800000,100000
chrX,77000000,77200000,100000
chrX,79400000,79500000,100000
chrX,79600000,79700000,100000
chrX,81400000,81500000,100000
chrX,82400000,82500000,100000
chrX,91600000,91900000,100000
chrX,116000000,116200000,100000
chrX,126100000,126600000,100000
chrX,128700000,128900000,100000
chrX,129000000,129100000,100000
chrX,130200000,130900000,100000
chrX,131000000,131500000,100000
chrX,131600000,132400000,100000
chrX,132500000,133000000,100000
chrX,136000000,136300000,100000
chrX,136900000,137100000,100000
chrX,137500000,137800000,100000
chrX,145400000,146500000,100000
chrX,146600000,147200000,100000
chrX,147700000,147800000,100000
chrX,148800000,149100000,100000
chrX,149300000,150600000,100000
chrX,152600000,153000000,100000
