chrom,start,end,resolution,label
chrX,0,1000000,500000,start_edge
chrX,2000000,3000000,500000,end_edge
chrX,8000000,9000000,500000,start_edge
chrX,13500000,14500000,500000,end_edge
chrX,14000000,15000000,500000,start_edge
chrX,19500000,20500000,500000,end_edge
chrX,21000000,22000000,500000,start_edge
chrX,21500000,22500000,500000,end_edge
chrX,22500000,23500000,500000,start_edge
chrX,24500000,25500000,500000,end_edge
chrX,36500000,37500000,500000,start_edge
chrX,41500000,42500000,500000,end_edge
chrX,42000000,43000000,500000,start_edge
chrX,57000000,58000000,500000,end_edge
chrX,65000000,66000000,500000,start_edge
chrX,66000000,67000000,500000,end_edge
chrX,66500000,67500000,500000,start_edge
chrX,67000000,68000000,500000,end_edge
chrX,67500000,68500000,500000,start_edge
chrX,69000000,70000000,500000,end_edge
chrX,73500000,74500000,500000,start_edge
chrX,74500000,75500000,500000,end_edge
chrX,103500000,104500000,500000,start_edge
chrX,104500000,105500000,500000,end_edge
chrX,114000000,115000000,500000,start_edge
chrX,116000000,117000000,500000,end_edge
chrX,119500000,120500000,500000,start_edge
chrX,120000000,121000000,500000,end_edge
chrX,125500000,126500000,500000,start_edge
chrX,126000000,127000000,500000,end_edge
chrX,130000000,131000000,500000,start_edge
chrX,132500000,133500000,500000,end_edge
chrX,145500000,146500000,500000,start_edge
chrX,146500000,147500000,500000,end_edge
chrX,149000000,150000000,500000,start_edge
chrX,150500000,151500000,500000,end_edge
chrX,152000000,153000000,500000,start_edge
chrX,152500000,153500000,500000,end_edge
