start,end,chrom,resolution
200000,400000,chrX,100000
2300000,2500000,chrX,100000
8300000,8500000,chrX,100000
10300000,10500000,chrX,100000
12400000,12600000,chrX,100000
13500000,13700000,chrX,100000
15000000,15200000,chrX,100000
15600000,15800000,chrX,100000
16300000,16500000,chrX,100000
17500000,17700000,chrX,100000
17900000,18100000,chrX,100000
20200000,20400000,chrX,100000
21300000,21500000,chrX,100000
21900000,22100000,chrX,100000
23200000,23400000,chrX,100000
24500000,24700000,chrX,100000
30000000,30200000,chrX,100000
30500000,30700000,chrX,100000
32700000,33100000,chrX,100000
38200000,38400000,chrX,100000
41200000,41400000,chrX,100000
46600000,46800000,chrX,100000
50200000,50400000,chrX,100000
52800000,53000000,chrX,100000
54300000,54500000,chrX,100000
65800000,66000000,chrX,100000
66300000,66500000,chrX,100000
67100000,67300000,chrX,100000
68700000,68900000,chrX,100000
69000000,69200000,chrX,100000
69900000,70100000,chrX,100000
71000000,71200000,chrX,100000
72900000,73100000,chrX,100000
74200000,74400000,chrX,100000
74600000,74800000,chrX,100000
77200000,77400000,chrX,100000
78000000,78200000,chrX,100000
78700000,79200000,chrX,100000
82300000,82500000,chrX,100000
84600000,84800000,chrX,100000
88900000,89300000,chrX,100000
89900000,90100000,chrX,100000
91500000,91700000,chrX,100000
97500000,97700000,chrX,100000
100300000,100500000,chrX,100000
103500000,103700000,chrX,100000
104900000,105100000,chrX,100000
106300000,106500000,chrX,100000
107100000,107300000,chrX,100000
108200000,108400000,chrX,100000
110400000,110600000,chrX,100000
111700000,111900000,chrX,100000
112100000,112300000,chrX,100000
114600000,114800000,chrX,100000
116700000,116900000,chrX,100000
119800000,120000000,chrX,100000
120200000,120400000,chrX,100000
125600000,125800000,chrX,100000
127000000,127200000,chrX,100000
128100000,128300000,chrX,100000
132900000,133100000,chrX,100000
137100000,137300000,chrX,100000
137700000,137900000,chrX,100000
141800000,142000000,chrX,100000
142200000,142400000,chrX,100000
144000000,144200000,chrX,100000
145000000,145400000,chrX,100000
146900000,147100000,chrX,100000
148700000,148900000,chrX,100000
152000000,152200000,chrX,100000
