chrom,start,end,resolution
chrX,500000,2500000,500000
chrX,16500000,17000000,500000
chrX,18000000,20000000,500000
chrX,23500000,24500000,500000
chrX,39000000,41500000,500000
chrX,44000000,45500000,500000
chrX,46500000,57500000,500000
chrX,65500000,66500000,500000
chrX,67000000,69000000,500000
chrX,74500000,76000000,500000
chrX,93500000,94500000,500000
chrX,97500000,98500000,500000
chrX,99500000,100000000,500000
chrX,103500000,105000000,500000
chrX,106500000,108500000,500000
chrX,110500000,111000000,500000
chrX,114500000,117000000,500000
chrX,120000000,121000000,500000
chrX,126000000,126500000,500000
chrX,128000000,139500000,500000
chrX,141000000,141500000,500000
chrX,143500000,144000000,500000
chrX,144500000,147500000,500000
chrX,152500000,153000000,500000
