chrom,start,end,resolution
chrX,800000,3600000,100000
chrX,6600000,6800000,100000
chrX,8300000,13700000,100000
chrX,15000000,20400000,100000
chrX,21400000,25100000,100000
chrX,27600000,28000000,100000
chrX,29800000,30700000,100000
chrX,30900000,31600000,100000
chrX,37300000,42100000,100000
chrX,43400000,50900000,100000
chrX,51300000,51700000,100000
chrX,52500000,54800000,100000
chrX,62100000,62600000,100000
chrX,65200000,69800000,100000
chrX,71100000,71700000,100000
chrX,74100000,74900000,100000
chrX,82700000,83000000,100000
chrX,93200000,94600000,100000
chrX,97300000,98600000,100000
chrX,99100000,101200000,100000
chrX,103200000,105300000,100000
chrX,106200000,108000000,100000
chrX,109400000,109600000,100000
chrX,111500000,112400000,100000
chrX,114300000,117000000,100000
chrX,119600000,120600000,100000
chrX,125500000,127100000,100000
chrX,128200000,128300000,100000
chrX,128400000,133200000,100000
chrX,135800000,136200000,100000
chrX,137000000,137700000,100000
chrX,143800000,144900000,100000
chrX,145300000,147100000,100000
chrX,148700000,152100000,100000
