name,start,end,strand
SH3KBP1,19279864,19554477,-
SH3KBP1,19279864,19586260,-
SH3KBP1,19279864,19586260,-
SH3KBP1,19279864,19586260,-
SH3KBP1,19279864,19642666,-
SH3KBP1,19279864,19642666,-
SH3KBP1,19279864,19642672,-
SH3KBP1,19279864,19642672,-
SH3KBP1,19279864,19642672,-
SH3KBP1,19279864,19642672,-
SH3KBP1,19279864,19642672,-
SH3KBP1,19279864,19642672,-
MIR7206,19624222,19624286,-
LANCL3,37379008,37481734,+
XK,37482758,37528037,+
CYBB,37571600,37605643,+
LOC696657,37612581,37614399,-
DYNLT3,37630338,37639070,-
PAGE4,49542813,49622367,+
PAGE4,49617677,49622367,+
PAGE4,49617692,49622367,+
USP27X,49666156,49670580,+
CLCN5,49712822,49875924,+
CLCN5,49715634,49875924,+
CLCN5,49715650,49875924,+
CLCN5,49715653,49875924,+
LOC114675180,49734124,49734231,-
MIR532,49792075,49792153,+
MIR188,49792433,49792519,+
MIR500A,49797335,49797419,+
MIR362,49797866,49797931,+
MIR501,49798626,49798710,+
MIR500B,49801116,49801177,+
MIR660,49803671,49803768,+
MIR502,49805030,49805110,+
CLCN5,49825060,49875924,+
CLCN5,49843903,49875924,+
AKAP4,49995083,50005325,-
AKAP4,49995095,50004676,-
AKAP4,49995095,50004676,-
AKAP4,49995095,50005325,-
CCNB3,50009047,50097034,+
CCNB3,50009047,50097034,+
CCNB3,50009047,50097034,+
LOC114675218,51201174,51201237,+
LOC695959,51297464,51304267,-
CENPVL3,51407074,51409014,-
FAM120C,53793579,53913010,-
FAM120C,53793579,53913010,-
FAM120C,53793579,53913010,-
FAM120C,53903229,53913010,-
WNK3,53922136,54092124,-
WNK3,53927508,54055687,-
WNK3,53927508,54092127,-
WNK3,53927508,54092127,-
WNK3,53927508,54092127,-
WNK3,53927508,54092511,-
LOC114675302,54077988,54078095,+
ZC3H12B,61696284,62121316,+
ZC3H12B,61696284,62121316,+
ZC3H12B,61696284,62121316,+
ZC3H12B,61742350,62121316,+
LAS1L,62126299,62148021,-
LAS1L,62126299,62148021,-
LAS1L,62126299,62148026,-
MSN,62280798,62356215,+
MSN,62280827,62355995,+
MSN,62289700,62356215,+
ATRX,74196330,74480944,-
ATRX,74196330,74480944,-
ATRX,74196330,74480944,-
ATRX,74198828,74480899,-
ATRX,74198828,74480899,-
ATRX,74198828,74480899,-
ATRX,74198828,74480899,-
ATRX,74198828,74480903,-
ATRX,74198828,74480944,-
ATRX,74198828,74480944,-
ATRX,74198828,74480944,-
ATRX,74198828,74480944,-
MAGT1,74523235,74584057,-
LOC114675151,74533676,74533779,+
COX7B,74587924,74594181,+
ATP7A,74600070,74749754,+
ALG13,108376211,108458629,+
ALG13,108376211,108458634,+
ALG13,108376211,108458634,+
ALG13,108376216,108383733,+
ALG13,108376216,108383733,+
ALG13,108376216,108458634,+
ALG13,108376216,108458634,+
ALG13,108376216,108458634,+
ALG13,108376216,108458634,+
ALG13,108376216,108458634,+
ALG13,108376242,108383733,+
ALG13,108376263,108383733,+
ALG13,108376263,108383733,+
ALG13,108376263,108458634,+
ALG13,108376263,108458634,+
ALG13,108376263,108458634,+
ALG13,108376263,108458634,+
ALG13,108376849,108458634,+
RAP2C,128439620,128455931,-
RAP2C,128439620,128455973,-
DKC1,150796856,150810866,+
LOC114675231,150808211,150808340,+
MPP1,150811858,150838265,-
MPP1,150811858,150838310,-
MPP1,150811858,150838310,-
MPP1,150811858,150838348,-
MPP1,150811860,150838290,-
SMIM9,150869163,150877457,-
SMIM9,150869442,150877458,-
F8,150879820,150922853,-
F8,150879820,150942123,-
F8,150879820,151077683,-
F8,150879820,151079645,-
