chrom,start,end
chrX,0,2000000
chrX,2500000,3000000
chrX,8000000,10000000
chrX,10500000,13000000
chrX,16000000,19500000
chrX,23000000,24500000
chrX,36500000,41500000
chrX,43000000,44500000
chrX,46000000,50000000
chrX,51000000,51500000
chrX,52000000,55000000
chrX,55500000,57000000
chrX,61000000,62000000
chrX,64500000,66000000
chrX,66500000,69500000
chrX,70500000,71500000
chrX,72000000,75000000
chrX,76500000,77000000
chrX,93000000,94000000
chrX,97000000,98000000
chrX,98500000,100500000
chrX,103000000,105000000
chrX,105500000,108000000
chrX,111500000,112000000
chrX,114000000,116500000
chrX,119000000,120000000
chrX,125000000,126500000
chrX,129000000,129500000
chrX,130000000,132500000
chrX,145500000,146500000
chrX,149000000,150500000
chrX,152000000,152500000
