start,end,chrom,resolution
1000000,2000000,chrX,100000
19500000,20500000,chrX,100000
23000000,25000000,chrX,100000
38500000,39500000,chrX,100000
41000000,42000000,chrX,100000
45500000,46500000,chrX,100000
50000000,51000000,chrX,100000
52000000,53000000,chrX,100000
54000000,55000000,chrX,100000
114000000,115000000,chrX,100000
116500000,117500000,chrX,100000
119000000,121000000,chrX,100000
125000000,126000000,chrX,100000
133500000,135000000,chrX,100000
138500000,140500000,chrX,100000
143000000,144000000,chrX,100000
150500000,151500000,chrX,100000
