chrom,start,end
chrX,400000,2500000
chrX,3200000,3400000
chrX,4200000,4400000
chrX,6500000,6800000
chrX,8200000,9700000
chrX,9900000,10200000
chrX,12300000,13100000
chrX,13200000,13600000
chrX,14900000,15600000
chrX,16300000,16800000
chrX,17100000,17200000
chrX,17300000,17400000
chrX,18000000,18400000
chrX,18500000,20200000
chrX,21300000,21800000
chrX,23300000,24500000
chrX,29900000,30800000
chrX,37300000,37500000
chrX,38300000,41400000
chrX,43400000,43500000
chrX,43800000,44100000
chrX,44300000,44900000
chrX,45500000,45700000
chrX,46300000,50900000
chrX,51100000,52100000
chrX,52500000,55300000
chrX,55500000,55900000
chrX,56400000,56600000
chrX,59100000,59400000
chrX,63600000,64200000
chrX,64300000,64700000
chrX,64900000,66500000
chrX,66900000,68700000
chrX,68900000,69700000
chrX,71200000,72100000
chrX,72200000,72600000
chrX,72800000,73000000
chrX,74100000,74800000
chrX,77000000,77100000
chrX,77300000,77900000
chrX,91500000,91700000
chrX,93000000,94100000
chrX,94200000,94300000
chrX,97300000,97400000
chrX,97500000,98500000
chrX,99100000,99300000
chrX,99400000,100300000
chrX,100700000,101000000
chrX,102400000,102500000
chrX,103400000,105300000
chrX,106100000,106200000
chrX,106300000,107100000
chrX,107700000,107800000
chrX,108200000,110400000
chrX,111800000,112100000
chrX,114500000,116900000
chrX,119700000,120200000
chrX,122400000,122500000
chrX,125600000,126600000
chrX,126700000,126800000
chrX,128200000,128900000
chrX,129500000,129700000
chrX,129800000,133000000
chrX,135800000,136100000
chrX,136800000,136900000
chrX,137000000,137100000
chrX,137300000,137500000
chrX,141800000,142300000
chrX,143800000,144100000
chrX,144300000,145000000
chrX,145100000,145300000
chrX,145400000,147000000
chrX,148700000,149000000
chrX,149200000,150800000
chrX,152200000,153300000
