chrom,start,end,resolution
chrX,1000000,2500000,500000
chrX,11500000,13000000,500000
chrX,16500000,20000000,500000
chrX,21000000,29000000,500000
chrX,38000000,40500000,500000
chrX,47000000,50000000,500000
chrX,50500000,56000000,500000
chrX,67500000,78000000,500000
chrX,88000000,88500000,500000
chrX,89000000,92000000,500000
chrX,98000000,100500000,500000
chrX,103500000,104500000,500000
chrX,106500000,109000000,500000
chrX,109500000,110000000,500000
chrX,110500000,112500000,500000
chrX,114000000,116500000,500000
chrX,126000000,127000000,500000
chrX,128000000,133000000,500000
chrX,137500000,138500000,500000
chrX,146000000,148000000,500000
chrX,148500000,150000000,500000
