chrom,start,end,resolution
chrX,300000,2500000,100000
chrX,8900000,9800000,100000
chrX,12400000,13700000,100000
chrX,15200000,15600000,100000
chrX,16200000,16800000,100000
chrX,17300000,17700000,100000
chrX,17900000,18600000,100000
chrX,19500000,20100000,100000
chrX,23600000,24000000,100000
chrX,39600000,41500000,100000
chrX,46500000,51100000,100000
chrX,51200000,57200000,100000
chrX,57300000,57800000,100000
chrX,72800000,74100000,100000
chrX,74300000,75800000,100000
chrX,76900000,77000000,100000
chrX,91500000,91900000,100000
chrX,125900000,126700000,100000
chrX,130300000,133100000,100000
chrX,136000000,136200000,100000
chrX,137500000,137700000,100000
chrX,145400000,147200000,100000
chrX,148700000,150600000,100000
chrX,152400000,153200000,100000
