start,end,chrom,resolution
500000,1500000,chrX,500000
2000000,4000000,chrX,500000
8000000,9000000,chrX,500000
13000000,14000000,chrX,500000
14500000,16500000,chrX,500000
19500000,20500000,chrX,500000
23000000,24000000,chrX,500000
24500000,25500000,chrX,500000
36500000,37500000,chrX,500000
41500000,42500000,chrX,500000
43000000,44000000,chrX,500000
44500000,45500000,chrX,500000
46000000,47000000,chrX,500000
51500000,53000000,chrX,500000
57000000,58000000,chrX,500000
60000000,63500000,chrX,500000
64500000,65500000,chrX,500000
66000000,67500000,chrX,500000
70000000,73000000,chrX,500000
75000000,76000000,chrX,500000
93000000,95000000,chrX,500000
97000000,99500000,chrX,500000
100500000,101500000,chrX,500000
103000000,104000000,chrX,500000
105000000,106500000,chrX,500000
108000000,109000000,chrX,500000
111500000,113000000,chrX,500000
114000000,115000000,chrX,500000
116500000,117500000,chrX,500000
119000000,121000000,chrX,500000
125000000,126000000,chrX,500000
126500000,127500000,chrX,500000
129000000,131000000,chrX,500000
133000000,134000000,chrX,500000
145500000,147500000,chrX,500000
149000000,150000000,chrX,500000
150500000,151500000,chrX,500000
152000000,153388924,chrX,500000
