start,end,chrom,resolution
0,1000000,chrX,100000
2000000,3000000,chrX,100000
8000000,9000000,chrX,100000
10000000,11000000,chrX,100000
12000000,13500000,chrX,100000
16000000,17000000,chrX,100000
20000000,23500000,chrX,100000
24000000,25000000,chrX,100000
29500000,31000000,chrX,100000
37500000,38500000,chrX,100000
40500000,41500000,chrX,100000
46500000,47500000,chrX,100000
49500000,50500000,chrX,100000
52500000,53500000,chrX,100000
54000000,55000000,chrX,100000
65500000,67500000,chrX,100000
70500000,71500000,chrX,100000
72500000,73500000,chrX,100000
77000000,79000000,chrX,100000
81500000,82500000,chrX,100000
84000000,85000000,chrX,100000
88500000,90500000,chrX,100000
91000000,92000000,chrX,100000
97000000,98000000,chrX,100000
100000000,101000000,chrX,100000
103000000,104000000,chrX,100000
104500000,105500000,chrX,100000
106000000,107500000,chrX,100000
108000000,109000000,chrX,100000
110000000,111000000,chrX,100000
114000000,115000000,chrX,100000
116000000,117000000,chrX,100000
119500000,121000000,chrX,100000
125500000,128500000,chrX,100000
132500000,133500000,chrX,100000
137000000,138500000,chrX,100000
141500000,143000000,chrX,100000
144000000,146000000,chrX,100000
146500000,147500000,chrX,100000
148500000,149500000,chrX,100000
151000000,153500000,chrX,100000
