chrom,start,end,resolution
chrX,700000,2300000,100000
chrX,12800000,12900000,100000
chrX,17900000,18400000,100000
chrX,19000000,20100000,100000
chrX,20800000,28700000,100000
chrX,30700000,30900000,100000
chrX,37200000,40400000,100000
chrX,47200000,50200000,100000
chrX,51500000,56800000,100000
chrX,67500000,71100000,100000
chrX,71700000,74300000,100000
chrX,74800000,77200000,100000
chrX,78600000,79500000,100000
chrX,80000000,81000000,100000
chrX,81200000,84400000,100000
chrX,89800000,91700000,100000
chrX,97900000,101100000,100000
chrX,103400000,105300000,100000
chrX,106200000,108000000,100000
chrX,108100000,109000000,100000
chrX,109100000,109600000,100000
chrX,113000000,118800000,100000
chrX,120200000,120300000,100000
chrX,125900000,127600000,100000
chrX,127800000,135400000,100000
chrX,138500000,139300000,100000
chrX,139900000,141200000,100000
chrX,144800000,151500000,100000
chrX,152400000,152900000,100000
