start,end,chrom,resolution
800000,1000000,chrX,100000
1100000,1400000,chrX,100000
2600000,2900000,chrX,100000
3400000,3600000,chrX,100000
8600000,9500000,chrX,100000
12800000,13500000,chrX,100000
15200000,15500000,chrX,100000
16200000,16400000,chrX,100000
16700000,16900000,chrX,100000
17400000,18000000,chrX,100000
18800000,19100000,chrX,100000
19200000,19400000,chrX,100000
19500000,19700000,chrX,100000
19800000,20000000,chrX,100000
23400000,23600000,chrX,100000
24000000,24500000,chrX,100000
38000000,38300000,chrX,100000
38400000,38800000,chrX,100000
39100000,39300000,chrX,100000
41400000,41600000,chrX,100000
44200000,44400000,chrX,100000
45400000,46100000,chrX,100000
46200000,46400000,chrX,100000
47700000,48000000,chrX,100000
51900000,52200000,chrX,100000
52400000,52800000,chrX,100000
55400000,55700000,chrX,100000
56700000,56900000,chrX,100000
57000000,57200000,chrX,100000
57300000,57600000,chrX,100000
57700000,57900000,chrX,100000
62200000,62500000,chrX,100000
65100000,65300000,chrX,100000
65500000,65800000,chrX,100000
66600000,66800000,chrX,100000
67100000,67300000,chrX,100000
69300000,69500000,chrX,100000
71200000,71700000,chrX,100000
74100000,74300000,chrX,100000
74600000,74800000,chrX,100000
88700000,89100000,chrX,100000
93200000,93400000,chrX,100000
94600000,94800000,chrX,100000
96900000,97700000,chrX,100000
98200000,98400000,chrX,100000
98800000,99400000,chrX,100000
100300000,100500000,chrX,100000
100700000,101100000,chrX,100000
103400000,103600000,chrX,100000
104700000,104900000,chrX,100000
106300000,106500000,chrX,100000
108700000,108900000,chrX,100000
109300000,109500000,chrX,100000
109600000,109800000,chrX,100000
110500000,110700000,chrX,100000
111300000,111700000,chrX,100000
112100000,112300000,chrX,100000
114500000,114700000,chrX,100000
116900000,117100000,chrX,100000
119700000,119900000,chrX,100000
120900000,121400000,chrX,100000
125600000,125800000,chrX,100000
126600000,127000000,chrX,100000
127100000,127300000,chrX,100000
127900000,128100000,chrX,100000
134000000,134300000,chrX,100000
134600000,134900000,chrX,100000
135400000,135700000,chrX,100000
139200000,139500000,chrX,100000
139600000,139800000,chrX,100000
140900000,141100000,chrX,100000
141500000,142000000,chrX,100000
142500000,142800000,chrX,100000
143400000,143900000,chrX,100000
144000000,144200000,chrX,100000
144300000,144500000,chrX,100000
147300000,147900000,chrX,100000
148700000,148900000,chrX,100000
150200000,150400000,chrX,100000
150500000,150800000,chrX,100000
152400000,152600000,chrX,100000
153200000,153388924,chrX,100000
