chrom,start,end,resolution
chrX,700000,2500000,100000
chrX,8900000,9800000,100000
chrX,12400000,13700000,100000
chrX,15000000,15700000,100000
chrX,16100000,16800000,100000
chrX,17300000,19000000,100000
chrX,19500000,20100000,100000
chrX,23600000,24000000,100000
chrX,39500000,41600000,100000
chrX,46500000,56800000,100000
chrX,72300000,74400000,100000
chrX,74500000,140200000,100000
chrX,140800000,141200000,100000
chrX,144900000,147900000,100000
chrX,148700000,150600000,100000
chrX,152400000,152900000,100000
