chrom,start,end,resolution,label
chrX,500000,1500000,500000,start_edge
chrX,3000000,4000000,500000,end_edge
chrX,8000000,9000000,500000,start_edge
chrX,13000000,14000000,500000,end_edge
chrX,14500000,15500000,500000,start_edge
chrX,20000000,21000000,500000,end_edge
chrX,21000000,22000000,500000,start_edge
chrX,24500000,25500000,500000,end_edge
chrX,27000000,28000000,500000,start_edge
chrX,27500000,28500000,500000,end_edge
chrX,29500000,30500000,500000,start_edge
chrX,30000000,31000000,500000,end_edge
chrX,30500000,31500000,500000,start_edge
chrX,31000000,32000000,500000,end_edge
chrX,37000000,38000000,500000,start_edge
chrX,41500000,42500000,500000,end_edge
chrX,43000000,44000000,500000,start_edge
chrX,50500000,51500000,500000,end_edge
chrX,51000000,52000000,500000,start_edge
chrX,51500000,52500000,500000,end_edge
chrX,52000000,53000000,500000,start_edge
chrX,54000000,55000000,500000,end_edge
chrX,61500000,62500000,500000,start_edge
chrX,62000000,63000000,500000,end_edge
chrX,64500000,65500000,500000,start_edge
chrX,69000000,70000000,500000,end_edge
chrX,70500000,71500000,500000,start_edge
chrX,71000000,72000000,500000,end_edge
chrX,73500000,74500000,500000,start_edge
chrX,74500000,75500000,500000,end_edge
chrX,92500000,93500000,500000,start_edge
chrX,94000000,95000000,500000,end_edge
chrX,97000000,98000000,500000,start_edge
chrX,98000000,99000000,500000,end_edge
chrX,98500000,99500000,500000,start_edge
chrX,100500000,101500000,500000,end_edge
chrX,103000000,104000000,500000,start_edge
chrX,104500000,105500000,500000,end_edge
chrX,105500000,106500000,500000,start_edge
chrX,107500000,108500000,500000,end_edge
chrX,111000000,112000000,500000,start_edge
chrX,112000000,113000000,500000,end_edge
chrX,114000000,115000000,500000,start_edge
chrX,116500000,117500000,500000,end_edge
chrX,119000000,120000000,500000,start_edge
chrX,120000000,121000000,500000,end_edge
chrX,125000000,126000000,500000,start_edge
chrX,126500000,127500000,500000,end_edge
chrX,128000000,129000000,500000,start_edge
chrX,132500000,133500000,500000,end_edge
chrX,136500000,137500000,500000,start_edge
chrX,137000000,138000000,500000,end_edge
chrX,144000000,145000000,500000,start_edge
chrX,144500000,145500000,500000,end_edge
chrX,145000000,146000000,500000,start_edge
chrX,146500000,147500000,500000,end_edge
chrX,148000000,149000000,500000,start_edge
chrX,151000000,152000000,500000,end_edge
