chrom,start,end,resolution
chrX,600000,2700000,100000
chrX,3100000,3600000,100000
chrX,4200000,4600000,100000
chrX,6500000,7600000,100000
chrX,8200000,10400000,100000
chrX,10700000,11300000,100000
chrX,12300000,13800000,100000
chrX,14900000,15900000,100000
chrX,16200000,17600000,100000
chrX,17900000,20400000,100000
chrX,21300000,22000000,100000
chrX,23300000,24800000,100000
chrX,29900000,31300000,100000
chrX,37200000,38000000,100000
chrX,38100000,41700000,100000
chrX,43400000,45200000,100000
chrX,45500000,45800000,100000
chrX,46300000,57600000,100000
chrX,63800000,64100000,100000
chrX,64300000,66600000,100000
chrX,67000000,69800000,100000
chrX,71200000,73000000,100000
chrX,74200000,74900000,100000
chrX,77200000,77900000,100000
chrX,93100000,93700000,100000
chrX,97400000,98600000,100000
chrX,99200000,100400000,100000
chrX,100800000,101100000,100000
chrX,103400000,105300000,100000
chrX,106300000,107300000,100000
chrX,108300000,110400000,100000
chrX,111900000,112200000,100000
chrX,114500000,117000000,100000
chrX,119800000,120400000,100000
chrX,125600000,126800000,100000
chrX,128200000,129100000,100000
chrX,129500000,133100000,100000
chrX,135900000,136200000,100000
chrX,137100000,137700000,100000
chrX,141800000,142400000,100000
chrX,144000000,147100000,100000
chrX,148700000,151300000,100000
chrX,151900000,152200000,100000
chrX,152700000,153100000,100000
