chrom,start,end,resolution
chrX,700000,2300000,100000
chrX,9100000,9200000,100000
chrX,9800000,10300000,100000
chrX,10700000,11000000,100000
chrX,12500000,13600000,100000
chrX,15000000,15700000,100000
chrX,16200000,17000000,100000
chrX,17200000,20300000,100000
chrX,21500000,24900000,100000
chrX,37500000,41600000,100000
chrX,43600000,45000000,100000
chrX,46500000,50700000,100000
chrX,52700000,53700000,100000
chrX,53800000,54200000,100000
chrX,65500000,66500000,100000
chrX,67200000,70000000,100000
chrX,71100000,71800000,100000
chrX,74200000,74900000,100000
chrX,77300000,78200000,100000
chrX,81300000,89000000,100000
chrX,90000000,91400000,100000
chrX,97500000,100800000,100000
chrX,103700000,105200000,100000
chrX,106300000,107200000,100000
chrX,107700000,108100000,100000
chrX,111700000,112100000,100000
chrX,114700000,117000000,100000
chrX,119600000,120400000,100000
chrX,125700000,127400000,100000
chrX,128000000,130000000,100000
chrX,130500000,133300000,100000
chrX,135800000,136300000,100000
chrX,145400000,147200000,100000
chrX,148700000,152100000,100000
