chrom,start,end,resolution,label
chrX,400000,600000,100000,start_edge
chrX,700000,900000,100000,end_edge
chrX,800000,1000000,100000,start_edge
chrX,1100000,1300000,100000,end_edge
chrX,1200000,1400000,100000,start_edge
chrX,3800000,4000000,100000,end_edge
chrX,3900000,4100000,100000,start_edge
chrX,4100000,4300000,100000,end_edge
chrX,4200000,4400000,100000,start_edge
chrX,4300000,4500000,100000,end_edge
chrX,5200000,5400000,100000,start_edge
chrX,5300000,5500000,100000,end_edge
chrX,5600000,5800000,100000,start_edge
chrX,9900000,10100000,100000,end_edge
chrX,10600000,10800000,100000,start_edge
chrX,10800000,11000000,100000,end_edge
chrX,10900000,11100000,100000,start_edge
chrX,11400000,11600000,100000,end_edge
chrX,12200000,12400000,100000,start_edge
chrX,13700000,13900000,100000,end_edge
chrX,14800000,15000000,100000,start_edge
chrX,15500000,15700000,100000,end_edge
chrX,15600000,15800000,100000,start_edge
chrX,15700000,15900000,100000,end_edge
chrX,16100000,16300000,100000,start_edge
chrX,16800000,17000000,100000,end_edge
chrX,17000000,17200000,100000,start_edge
chrX,17900000,18100000,100000,end_edge
chrX,18000000,18200000,100000,start_edge
chrX,18100000,18300000,100000,end_edge
chrX,18200000,18400000,100000,start_edge
chrX,19100000,19300000,100000,end_edge
chrX,19500000,19700000,100000,start_edge
chrX,19900000,20100000,100000,end_edge
chrX,23400000,23600000,100000,start_edge
chrX,23500000,23700000,100000,end_edge
chrX,23600000,23800000,100000,start_edge
chrX,23800000,24000000,100000,end_edge
chrX,23900000,24100000,100000,start_edge
chrX,24100000,24300000,100000,end_edge
chrX,24200000,24400000,100000,start_edge
chrX,24300000,24500000,100000,end_edge
chrX,38000000,38200000,100000,start_edge
chrX,38100000,38300000,100000,end_edge
chrX,39300000,39500000,100000,start_edge
chrX,41400000,41600000,100000,end_edge
chrX,46200000,46400000,100000,start_edge
chrX,50400000,50600000,100000,end_edge
chrX,52600000,52800000,100000,start_edge
chrX,53800000,54000000,100000,end_edge
chrX,54000000,54200000,100000,start_edge
chrX,54400000,54600000,100000,end_edge
chrX,54600000,54800000,100000,start_edge
chrX,54700000,54900000,100000,end_edge
chrX,68000000,68200000,100000,start_edge
chrX,68700000,68900000,100000,end_edge
chrX,72900000,73100000,100000,start_edge
chrX,73900000,74100000,100000,end_edge
chrX,74400000,74600000,100000,start_edge
chrX,74500000,74700000,100000,end_edge
chrX,75100000,75300000,100000,start_edge
chrX,75200000,75400000,100000,end_edge
chrX,91500000,91700000,100000,start_edge
chrX,91800000,92000000,100000,end_edge
chrX,114900000,115100000,100000,start_edge
chrX,116800000,117000000,100000,end_edge
chrX,119900000,120100000,100000,start_edge
chrX,120000000,120200000,100000,end_edge
chrX,125700000,125900000,100000,start_edge
chrX,126900000,127100000,100000,end_edge
chrX,127900000,128100000,100000,start_edge
chrX,128000000,128200000,100000,end_edge
chrX,128700000,128900000,100000,start_edge
chrX,129000000,129200000,100000,end_edge
chrX,129500000,129700000,100000,start_edge
chrX,129600000,129800000,100000,end_edge
chrX,129900000,130100000,100000,start_edge
chrX,130000000,130200000,100000,end_edge
chrX,130100000,130300000,100000,start_edge
chrX,130400000,130600000,100000,end_edge
chrX,130500000,130700000,100000,start_edge
chrX,133200000,133400000,100000,end_edge
chrX,135700000,135900000,100000,start_edge
chrX,136300000,136500000,100000,end_edge
chrX,136700000,136900000,100000,start_edge
chrX,137100000,137300000,100000,end_edge
chrX,137300000,137500000,100000,start_edge
chrX,138000000,138200000,100000,end_edge
chrX,144500000,144700000,100000,start_edge
chrX,144600000,144800000,100000,end_edge
chrX,144700000,144900000,100000,start_edge
chrX,148100000,148300000,100000,end_edge
chrX,148300000,148500000,100000,start_edge
chrX,151900000,152100000,100000,end_edge
chrX,152500000,152700000,100000,start_edge
chrX,152900000,153100000,100000,end_edge
