start,end,chrom,resolution
400000,600000,chrX,100000
2500000,2700000,chrX,100000
3200000,3600000,chrX,100000
4200000,4600000,chrX,100000
6600000,7000000,chrX,100000
8200000,8400000,chrX,100000
9700000,10100000,chrX,100000
10200000,10400000,chrX,100000
12300000,12500000,chrX,100000
13100000,13400000,chrX,100000
13600000,13800000,chrX,100000
14800000,15000000,chrX,100000
15600000,15800000,chrX,100000
16300000,16500000,chrX,100000
16800000,17000000,chrX,100000
17100000,17300000,chrX,100000
17400000,17600000,chrX,100000
18000000,18200000,chrX,100000
18400000,18700000,chrX,100000
20200000,20400000,chrX,100000
21300000,21500000,chrX,100000
21800000,22000000,chrX,100000
23300000,23500000,chrX,100000
24500000,24700000,chrX,100000
29900000,30100000,chrX,100000
30600000,31000000,chrX,100000
37300000,37700000,chrX,100000
38300000,38500000,chrX,100000
41400000,41600000,chrX,100000
43400000,43900000,chrX,100000
44100000,44500000,chrX,100000
44900000,45100000,chrX,100000
45500000,45900000,chrX,100000
46300000,46500000,chrX,100000
50900000,51300000,chrX,100000
52100000,52300000,chrX,100000
52500000,52700000,chrX,100000
55000000,55700000,chrX,100000
55900000,56100000,chrX,100000
56300000,56500000,chrX,100000
56600000,56800000,chrX,100000
62000000,62300000,chrX,100000
63600000,63800000,chrX,100000
64200000,64500000,chrX,100000
64800000,65100000,chrX,100000
66500000,66700000,chrX,100000
66900000,67100000,chrX,100000
68700000,69100000,chrX,100000
69900000,70100000,chrX,100000
71200000,71400000,chrX,100000
72600000,73200000,chrX,100000
74100000,74300000,chrX,100000
74800000,75000000,chrX,100000
77000000,77500000,chrX,100000
77900000,78100000,chrX,100000
82600000,83000000,chrX,100000
91500000,91900000,chrX,100000
93000000,93200000,chrX,100000
94100000,94500000,chrX,100000
97300000,97500000,chrX,100000
98500000,98700000,chrX,100000
99100000,99300000,chrX,100000
100300000,100500000,chrX,100000
100700000,100900000,chrX,100000
101000000,101200000,chrX,100000
102400000,102700000,chrX,100000
103400000,103600000,chrX,100000
105300000,105500000,chrX,100000
106100000,106500000,chrX,100000
107100000,107300000,chrX,100000
107700000,108000000,chrX,100000
108200000,108400000,chrX,100000
110400000,110600000,chrX,100000
111800000,112000000,chrX,100000
112100000,112300000,chrX,100000
114500000,114700000,chrX,100000
116900000,117100000,chrX,100000
119700000,119900000,chrX,100000
120300000,120500000,chrX,100000
122400000,122700000,chrX,100000
125500000,125700000,chrX,100000
126600000,127000000,chrX,100000
127900000,128400000,chrX,100000
128900000,129100000,chrX,100000
129400000,129600000,chrX,100000
133000000,133200000,chrX,100000
135800000,136000000,chrX,100000
136100000,136300000,chrX,100000
136800000,137200000,chrX,100000
137500000,137700000,chrX,100000
141800000,142000000,chrX,100000
142300000,142500000,chrX,100000
143800000,144000000,chrX,100000
144100000,144400000,chrX,100000
145300000,145600000,chrX,100000
147000000,147200000,chrX,100000
148700000,148900000,chrX,100000
149000000,149400000,chrX,100000
150800000,151000000,chrX,100000
152200000,152400000,chrX,100000
153200000,153388924,chrX,100000
