chrom,start,end,resolution,label
chrX,700000,900000,100000,start_edge
chrX,3200000,3400000,100000,end_edge
chrX,8300000,8500000,100000,start_edge
chrX,13300000,13500000,100000,end_edge
chrX,15000000,15200000,100000,start_edge
chrX,20200000,20400000,100000,end_edge
chrX,21500000,21700000,100000,start_edge
chrX,24500000,24700000,100000,end_edge
chrX,30000000,30200000,100000,start_edge
chrX,30300000,30500000,100000,end_edge
chrX,31000000,31200000,100000,start_edge
chrX,31300000,31500000,100000,end_edge
chrX,37500000,37700000,100000,start_edge
chrX,41400000,41600000,100000,end_edge
chrX,43500000,43700000,100000,start_edge
chrX,45900000,46100000,100000,end_edge
chrX,46000000,46200000,100000,start_edge
chrX,47900000,48100000,100000,end_edge
chrX,48300000,48500000,100000,start_edge
chrX,49100000,49300000,100000,end_edge
chrX,50400000,50600000,100000,start_edge
chrX,50600000,50800000,100000,end_edge
chrX,52700000,52900000,100000,start_edge
chrX,54200000,54400000,100000,end_edge
chrX,62100000,62300000,100000,start_edge
chrX,62400000,62600000,100000,end_edge
chrX,65400000,65600000,100000,start_edge
chrX,66400000,66600000,100000,end_edge
chrX,66900000,67100000,100000,start_edge
chrX,69500000,69700000,100000,end_edge
chrX,70900000,71100000,100000,start_edge
chrX,71600000,71800000,100000,end_edge
chrX,73900000,74100000,100000,start_edge
chrX,74800000,75000000,100000,end_edge
chrX,80800000,81000000,100000,start_edge
chrX,82100000,82300000,100000,end_edge
chrX,82400000,82600000,100000,start_edge
chrX,83100000,83300000,100000,end_edge
chrX,83800000,84000000,100000,start_edge
chrX,84400000,84600000,100000,end_edge
chrX,88500000,88700000,100000,start_edge
chrX,89200000,89400000,100000,end_edge
chrX,90100000,90300000,100000,start_edge
chrX,90200000,90400000,100000,end_edge
chrX,93800000,94000000,100000,start_edge
chrX,94000000,94200000,100000,end_edge
chrX,97400000,97600000,100000,start_edge
chrX,98700000,98900000,100000,end_edge
chrX,98900000,99100000,100000,start_edge
chrX,100900000,101100000,100000,end_edge
chrX,103400000,103600000,100000,start_edge
chrX,105000000,105200000,100000,end_edge
chrX,106200000,106400000,100000,start_edge
chrX,107600000,107800000,100000,end_edge
chrX,111500000,111700000,100000,start_edge
chrX,112100000,112300000,100000,end_edge
chrX,114500000,114700000,100000,start_edge
chrX,116500000,116700000,100000,end_edge
chrX,119700000,119900000,100000,start_edge
chrX,120200000,120400000,100000,end_edge
chrX,125700000,125900000,100000,start_edge
chrX,127400000,127600000,100000,end_edge
chrX,127700000,127900000,100000,start_edge
chrX,130200000,130400000,100000,end_edge
chrX,130400000,130600000,100000,start_edge
chrX,133000000,133200000,100000,end_edge
chrX,135800000,136000000,100000,start_edge
chrX,135900000,136100000,100000,end_edge
chrX,137100000,137300000,100000,start_edge
chrX,137600000,137800000,100000,end_edge
chrX,145500000,145700000,100000,start_edge
chrX,146800000,147000000,100000,end_edge
chrX,148800000,149000000,100000,start_edge
chrX,152100000,152300000,100000,end_edge
