start,end,chrom,resolution
700000,900000,chrX,100000
3400000,3600000,chrX,100000
6400000,6600000,chrX,100000
6800000,7000000,chrX,100000
8200000,8400000,chrX,100000
13600000,13800000,chrX,100000
14900000,15100000,chrX,100000
20200000,20600000,chrX,100000
21400000,21600000,chrX,100000
25000000,25200000,chrX,100000
27400000,27600000,chrX,100000
27900000,28100000,chrX,100000
28600000,28900000,chrX,100000
29700000,29900000,chrX,100000
30500000,31100000,chrX,100000
31500000,31700000,chrX,100000
32500000,32900000,chrX,100000
33000000,33300000,chrX,100000
34600000,35000000,chrX,100000
37000000,37500000,chrX,100000
41900000,42500000,chrX,100000
43300000,43500000,chrX,100000
50000000,50400000,chrX,100000
50700000,50900000,chrX,100000
51200000,51400000,chrX,100000
51700000,51900000,chrX,100000
52000000,52300000,chrX,100000
52500000,52700000,chrX,100000
54700000,54900000,chrX,100000
56000000,56300000,chrX,100000
56500000,56800000,chrX,100000
57200000,57700000,chrX,100000
60500000,60800000,chrX,100000
62100000,62300000,chrX,100000
62400000,62600000,chrX,100000
63400000,63700000,chrX,100000
64400000,64700000,chrX,100000
65100000,65300000,chrX,100000
69700000,69900000,chrX,100000
70900000,71300000,chrX,100000
71600000,71800000,chrX,100000
72900000,73200000,chrX,100000
74000000,74200000,chrX,100000
74800000,75000000,chrX,100000
77400000,77700000,chrX,100000
77900000,78200000,chrX,100000
81700000,82000000,chrX,100000
82600000,83000000,chrX,100000
88400000,88700000,chrX,100000
93100000,93300000,chrX,100000
94500000,94700000,chrX,100000
97200000,97400000,chrX,100000
98400000,98600000,chrX,100000
99100000,99300000,chrX,100000
101000000,101500000,chrX,100000
102400000,102800000,chrX,100000
103100000,103300000,chrX,100000
105200000,105400000,chrX,100000
106100000,106300000,chrX,100000
107900000,108100000,chrX,100000
108300000,108600000,chrX,100000
109200000,109400000,chrX,100000
109500000,109700000,chrX,100000
111400000,111600000,chrX,100000
112100000,112300000,chrX,100000
112600000,112900000,chrX,100000
114200000,114400000,chrX,100000
116900000,117100000,chrX,100000
119300000,119900000,chrX,100000
120400000,120900000,chrX,100000
121000000,121200000,chrX,100000
121300000,121500000,chrX,100000
125500000,125700000,chrX,100000
126700000,127300000,chrX,100000
127900000,128700000,chrX,100000
129200000,129600000,chrX,100000
133100000,133300000,chrX,100000
135800000,136000000,chrX,100000
136100000,136300000,chrX,100000
137000000,137200000,chrX,100000
137600000,137800000,chrX,100000
143800000,144300000,chrX,100000
144700000,145600000,chrX,100000
147000000,147200000,chrX,100000
148700000,148900000,chrX,100000
151500000,151800000,chrX,100000
152100000,152300000,chrX,100000
