chrom,start,end,resolution
chrX,300000,2300000,100000
chrX,9900000,10200000,100000
chrX,10700000,11000000,100000
chrX,12500000,13600000,100000
chrX,15000000,15800000,100000
chrX,16100000,17000000,100000
chrX,17200000,20200000,100000
chrX,21500000,24900000,100000
chrX,37400000,41600000,100000
chrX,43700000,43800000,100000
chrX,43900000,45000000,100000
chrX,46500000,50200000,100000
chrX,50400000,50600000,100000
chrX,52700000,54300000,100000
chrX,62200000,62500000,100000
chrX,65400000,66500000,100000
chrX,67100000,71100000,100000
chrX,71800000,74200000,100000
chrX,74800000,77300000,100000
chrX,78100000,79900000,100000
chrX,81300000,89000000,100000
chrX,90100000,90700000,100000
chrX,91400000,91900000,100000
chrX,97600000,100800000,100000
chrX,103700000,105200000,100000
chrX,106300000,107200000,100000
chrX,107600000,108100000,100000
chrX,111700000,112200000,100000
chrX,114700000,117000000,100000
chrX,119600000,120400000,100000
chrX,125700000,127400000,100000
chrX,128000000,130000000,100000
chrX,130500000,133300000,100000
chrX,135800000,136300000,100000
chrX,145400000,147200000,100000
chrX,148700000,152200000,100000
