chrom,start,end,resolution,label
chrX,300000,500000,100000,start_edge
chrX,2400000,2600000,100000,end_edge
chrX,8400000,8600000,100000,start_edge
chrX,9900000,10100000,100000,end_edge
chrX,12400000,12600000,100000,start_edge
chrX,13500000,13700000,100000,end_edge
chrX,15000000,15200000,100000,start_edge
chrX,15600000,15800000,100000,end_edge
chrX,16200000,16400000,100000,start_edge
chrX,16900000,17100000,100000,end_edge
chrX,18000000,18200000,100000,start_edge
chrX,20200000,20400000,100000,end_edge
chrX,21300000,21500000,100000,start_edge
chrX,21800000,22000000,100000,end_edge
chrX,23300000,23500000,100000,start_edge
chrX,24500000,24700000,100000,end_edge
chrX,30100000,30300000,100000,start_edge
chrX,30600000,30800000,100000,end_edge
chrX,37400000,37600000,100000,start_edge
chrX,37600000,37800000,100000,end_edge
chrX,38300000,38500000,100000,start_edge
chrX,41400000,41600000,100000,end_edge
chrX,43600000,43800000,100000,start_edge
chrX,45000000,45200000,100000,end_edge
chrX,46300000,46500000,100000,start_edge
chrX,52100000,52300000,100000,end_edge
chrX,52400000,52600000,100000,start_edge
chrX,55800000,56000000,100000,end_edge
chrX,58900000,59100000,100000,start_edge
chrX,59200000,59400000,100000,end_edge
chrX,63700000,63900000,100000,start_edge
chrX,66400000,66600000,100000,end_edge
chrX,66900000,67100000,100000,start_edge
chrX,68700000,68900000,100000,end_edge
chrX,69000000,69200000,100000,start_edge
chrX,69700000,69900000,100000,end_edge
chrX,71200000,71400000,100000,start_edge
chrX,72600000,72800000,100000,end_edge
chrX,74100000,74300000,100000,start_edge
chrX,74800000,75000000,100000,end_edge
chrX,77100000,77300000,100000,start_edge
chrX,77800000,78000000,100000,end_edge
chrX,92900000,93100000,100000,start_edge
chrX,94200000,94400000,100000,end_edge
chrX,97300000,97500000,100000,start_edge
chrX,98500000,98700000,100000,end_edge
chrX,99200000,99400000,100000,start_edge
chrX,100300000,100500000,100000,end_edge
chrX,100800000,101000000,100000,start_edge
chrX,101000000,101200000,100000,end_edge
chrX,103300000,103500000,100000,start_edge
chrX,105200000,105400000,100000,end_edge
chrX,106200000,106400000,100000,start_edge
chrX,107200000,107400000,100000,end_edge
chrX,108200000,108400000,100000,start_edge
chrX,110300000,110500000,100000,end_edge
chrX,111800000,112000000,100000,start_edge
chrX,112100000,112300000,100000,end_edge
chrX,114500000,114700000,100000,start_edge
chrX,116900000,117100000,100000,end_edge
chrX,119700000,119900000,100000,start_edge
chrX,120300000,120500000,100000,end_edge
chrX,125500000,125700000,100000,start_edge
chrX,126700000,126900000,100000,end_edge
chrX,128100000,128300000,100000,start_edge
chrX,129000000,129200000,100000,end_edge
chrX,129500000,129700000,100000,start_edge
chrX,132900000,133100000,100000,end_edge
chrX,137100000,137300000,100000,start_edge
chrX,137600000,137800000,100000,end_edge
chrX,141800000,142000000,100000,start_edge
chrX,142300000,142500000,100000,end_edge
chrX,143900000,144100000,100000,start_edge
chrX,147000000,147200000,100000,end_edge
chrX,148600000,148800000,100000,start_edge
chrX,150700000,150900000,100000,end_edge
chrX,152000000,152200000,100000,start_edge
chrX,153200000,153400000,100000,end_edge
