chrom,start,end,resolution,label
chrX,400000,600000,100000,start_edge
chrX,700000,900000,100000,end_edge
chrX,800000,1000000,100000,start_edge
chrX,2300000,2500000,100000,end_edge
chrX,7800000,8000000,100000,start_edge
chrX,7900000,8100000,100000,end_edge
chrX,8900000,9100000,100000,start_edge
chrX,9000000,9200000,100000,end_edge
chrX,9700000,9900000,100000,start_edge
chrX,9800000,10000000,100000,end_edge
chrX,9900000,10100000,100000,start_edge
chrX,10300000,10500000,100000,end_edge
chrX,10600000,10800000,100000,start_edge
chrX,11000000,11200000,100000,end_edge
chrX,11200000,11400000,100000,start_edge
chrX,11400000,11600000,100000,end_edge
chrX,12400000,12600000,100000,start_edge
chrX,13600000,13800000,100000,end_edge
chrX,14800000,15000000,100000,start_edge
chrX,15600000,15800000,100000,end_edge
chrX,16100000,16300000,100000,start_edge
chrX,16800000,17000000,100000,end_edge
chrX,17200000,17400000,100000,start_edge
chrX,17600000,17800000,100000,end_edge
chrX,17700000,17900000,100000,start_edge
chrX,20200000,20400000,100000,end_edge
chrX,21500000,21700000,100000,start_edge
chrX,22000000,22200000,100000,end_edge
chrX,22200000,22400000,100000,start_edge
chrX,22600000,22800000,100000,end_edge
chrX,22800000,23000000,100000,start_edge
chrX,24900000,25100000,100000,end_edge
chrX,29900000,30100000,100000,start_edge
chrX,30000000,30200000,100000,end_edge
chrX,30400000,30600000,100000,start_edge
chrX,30700000,30900000,100000,end_edge
chrX,30900000,31100000,100000,start_edge
chrX,31100000,31300000,100000,end_edge
chrX,37400000,37600000,100000,start_edge
chrX,41400000,41600000,100000,end_edge
chrX,43400000,43600000,100000,start_edge
chrX,43600000,43800000,100000,end_edge
chrX,44000000,44200000,100000,start_edge
chrX,44400000,44600000,100000,end_edge
chrX,44600000,44800000,100000,start_edge
chrX,44900000,45100000,100000,end_edge
chrX,46400000,46600000,100000,start_edge
chrX,48000000,48200000,100000,end_edge
chrX,48300000,48500000,100000,start_edge
chrX,49300000,49500000,100000,end_edge
chrX,49500000,49700000,100000,start_edge
chrX,50000000,50200000,100000,end_edge
chrX,50200000,50400000,100000,start_edge
chrX,50600000,50800000,100000,end_edge
chrX,52700000,52900000,100000,start_edge
chrX,53400000,53600000,100000,end_edge
chrX,53600000,53800000,100000,start_edge
chrX,54200000,54400000,100000,end_edge
chrX,62100000,62300000,100000,start_edge
chrX,62300000,62500000,100000,end_edge
chrX,65200000,65400000,100000,start_edge
chrX,65500000,65700000,100000,end_edge
chrX,65600000,65800000,100000,start_edge
chrX,66300000,66500000,100000,end_edge
chrX,67000000,67200000,100000,start_edge
chrX,69400000,69600000,100000,end_edge
chrX,69500000,69700000,100000,start_edge
chrX,69700000,69900000,100000,end_edge
chrX,69900000,70100000,100000,start_edge
chrX,70900000,71100000,100000,end_edge
chrX,71000000,71200000,100000,start_edge
chrX,71100000,71300000,100000,end_edge
chrX,71600000,71800000,100000,start_edge
chrX,74100000,74300000,100000,end_edge
chrX,74800000,75000000,100000,start_edge
chrX,77300000,77500000,100000,end_edge
chrX,77500000,77700000,100000,start_edge
chrX,77700000,77900000,100000,end_edge
chrX,78100000,78300000,100000,start_edge
chrX,79300000,79500000,100000,end_edge
chrX,79400000,79600000,100000,start_edge
chrX,79700000,79900000,100000,end_edge
chrX,79800000,80000000,100000,start_edge
chrX,79900000,80100000,100000,end_edge
chrX,81100000,81300000,100000,start_edge
chrX,88300000,88500000,100000,end_edge
chrX,88400000,88600000,100000,start_edge
chrX,88800000,89000000,100000,end_edge
chrX,88900000,89100000,100000,start_edge
chrX,89000000,89200000,100000,end_edge
chrX,89200000,89400000,100000,start_edge
chrX,89300000,89500000,100000,end_edge
chrX,89900000,90100000,100000,start_edge
chrX,90400000,90600000,100000,end_edge
chrX,90600000,90800000,100000,start_edge
chrX,90900000,91100000,100000,end_edge
chrX,91000000,91200000,100000,start_edge
chrX,91100000,91300000,100000,end_edge
chrX,91400000,91600000,100000,start_edge
chrX,91700000,91900000,100000,end_edge
chrX,97300000,97500000,100000,start_edge
chrX,97400000,97600000,100000,end_edge
chrX,97600000,97800000,100000,start_edge
chrX,97800000,98000000,100000,end_edge
chrX,97900000,98100000,100000,start_edge
chrX,100800000,101000000,100000,end_edge
chrX,103600000,103800000,100000,start_edge
chrX,104600000,104800000,100000,end_edge
chrX,104700000,104900000,100000,start_edge
chrX,105000000,105200000,100000,end_edge
chrX,105200000,105400000,100000,start_edge
chrX,105300000,105500000,100000,end_edge
chrX,106200000,106400000,100000,start_edge
chrX,107100000,107300000,100000,end_edge
chrX,107600000,107800000,100000,start_edge
chrX,107900000,108100000,100000,end_edge
chrX,108200000,108400000,100000,start_edge
chrX,108400000,108600000,100000,end_edge
chrX,109300000,109500000,100000,start_edge
chrX,109500000,109700000,100000,end_edge
chrX,111500000,111700000,100000,start_edge
chrX,112100000,112300000,100000,end_edge
chrX,114500000,114700000,100000,start_edge
chrX,116900000,117100000,100000,end_edge
chrX,119300000,119500000,100000,start_edge
chrX,119400000,119600000,100000,end_edge
chrX,119600000,119800000,100000,start_edge
chrX,120300000,120500000,100000,end_edge
chrX,125600000,125800000,100000,start_edge
chrX,127300000,127500000,100000,end_edge
chrX,127900000,128100000,100000,start_edge
chrX,129900000,130100000,100000,end_edge
chrX,130500000,130700000,100000,start_edge
chrX,131400000,131600000,100000,end_edge
chrX,131500000,131700000,100000,start_edge
chrX,133100000,133300000,100000,end_edge
chrX,135700000,135900000,100000,start_edge
chrX,136100000,136300000,100000,end_edge
chrX,137200000,137400000,100000,start_edge
chrX,137300000,137500000,100000,end_edge
chrX,139900000,140100000,100000,start_edge
chrX,140000000,140200000,100000,end_edge
chrX,143800000,144000000,100000,start_edge
chrX,144000000,144200000,100000,end_edge
chrX,145400000,145600000,100000,start_edge
chrX,147000000,147200000,100000,end_edge
chrX,147200000,147400000,100000,start_edge
chrX,147300000,147500000,100000,end_edge
chrX,148700000,148900000,100000,start_edge
chrX,152100000,152300000,100000,end_edge
