chrom,start,end,resolution,label
chrX,0,200000,100000,start_edge
chrX,2300000,2500000,100000,end_edge
chrX,8400000,8600000,100000,start_edge
chrX,10300000,10500000,100000,end_edge
chrX,10800000,11000000,100000,start_edge
chrX,10900000,11100000,100000,end_edge
chrX,12400000,12600000,100000,start_edge
chrX,13500000,13700000,100000,end_edge
chrX,15000000,15200000,100000,start_edge
chrX,15600000,15800000,100000,end_edge
chrX,16200000,16400000,100000,start_edge
chrX,17500000,17700000,100000,end_edge
chrX,17900000,18100000,100000,start_edge
chrX,20300000,20500000,100000,end_edge
chrX,21300000,21500000,100000,start_edge
chrX,21900000,22100000,100000,end_edge
chrX,23200000,23400000,100000,start_edge
chrX,24500000,24700000,100000,end_edge
chrX,30000000,30200000,100000,start_edge
chrX,30500000,30700000,100000,end_edge
chrX,32700000,32900000,100000,start_edge
chrX,32800000,33000000,100000,end_edge
chrX,38200000,38400000,100000,start_edge
chrX,41200000,41400000,100000,end_edge
chrX,46600000,46800000,100000,start_edge
chrX,49900000,50100000,100000,end_edge
chrX,52800000,53000000,100000,start_edge
chrX,54300000,54500000,100000,end_edge
chrX,59400000,59600000,100000,start_edge
chrX,59700000,59900000,100000,end_edge
chrX,65800000,66000000,100000,start_edge
chrX,66300000,66500000,100000,end_edge
chrX,67100000,67300000,100000,start_edge
chrX,68700000,68900000,100000,end_edge
chrX,69100000,69300000,100000,start_edge
chrX,69700000,69900000,100000,end_edge
chrX,71100000,71300000,100000,start_edge
chrX,72900000,73100000,100000,end_edge
chrX,74200000,74400000,100000,start_edge
chrX,74600000,74800000,100000,end_edge
chrX,77200000,77400000,100000,start_edge
chrX,77900000,78100000,100000,end_edge
chrX,78900000,79100000,100000,start_edge
chrX,79000000,79200000,100000,end_edge
chrX,79100000,79300000,100000,start_edge
chrX,79400000,79600000,100000,end_edge
chrX,82300000,82500000,100000,start_edge
chrX,84600000,84800000,100000,end_edge
chrX,88900000,89100000,100000,start_edge
chrX,89200000,89400000,100000,end_edge
chrX,89900000,90100000,100000,start_edge
chrX,91800000,92000000,100000,end_edge
chrX,97500000,97700000,100000,start_edge
chrX,100300000,100500000,100000,end_edge
chrX,103500000,103700000,100000,start_edge
chrX,105000000,105200000,100000,end_edge
chrX,106300000,106500000,100000,start_edge
chrX,107100000,107300000,100000,end_edge
chrX,108200000,108400000,100000,start_edge
chrX,110400000,110600000,100000,end_edge
chrX,111700000,111900000,100000,start_edge
chrX,112100000,112300000,100000,end_edge
chrX,114600000,114800000,100000,start_edge
chrX,116700000,116900000,100000,end_edge
chrX,119800000,120000000,100000,start_edge
chrX,120200000,120400000,100000,end_edge
chrX,125600000,125800000,100000,start_edge
chrX,127000000,127200000,100000,end_edge
chrX,128100000,128300000,100000,start_edge
chrX,132900000,133100000,100000,end_edge
chrX,137100000,137300000,100000,start_edge
chrX,137700000,137900000,100000,end_edge
chrX,141800000,142000000,100000,start_edge
chrX,142200000,142400000,100000,end_edge
chrX,144000000,144200000,100000,start_edge
chrX,145000000,145200000,100000,end_edge
chrX,145200000,145400000,100000,start_edge
chrX,146900000,147100000,100000,end_edge
chrX,148700000,148900000,100000,start_edge
chrX,152100000,152300000,100000,end_edge
