start,end,chrom,resolution
0,1000000,chrX,500000
2000000,5000000,chrX,500000
6000000,8500000,chrX,500000
10000000,13000000,chrX,500000
13500000,15500000,chrX,500000
17000000,18500000,chrX,500000
20000000,23500000,chrX,500000
24500000,25500000,chrX,500000
29500000,30500000,chrX,500000
31000000,32000000,chrX,500000
36500000,37500000,chrX,500000
41000000,42000000,chrX,500000
43000000,44000000,chrX,500000
45500000,47000000,chrX,500000
58000000,59000000,chrX,500000
64500000,65500000,chrX,500000
66000000,67500000,chrX,500000
69000000,70000000,chrX,500000
71000000,72500000,chrX,500000
74000000,75500000,chrX,500000
97000000,101000000,chrX,500000
103000000,104000000,chrX,500000
104500000,105500000,chrX,500000
106000000,109000000,chrX,500000
110000000,111000000,chrX,500000
114000000,115000000,chrX,500000
116500000,117500000,chrX,500000
119500000,121000000,chrX,500000
125000000,126000000,chrX,500000
126500000,127500000,chrX,500000
128000000,130000000,chrX,500000
132500000,133500000,chrX,500000
141500000,143000000,chrX,500000
144000000,145000000,chrX,500000
146500000,147500000,chrX,500000
148000000,149000000,chrX,500000
150500000,153388924,chrX,500000
