chrom,start,end,resolution
chrX,800000,3500000,100000
chrX,6500000,6900000,100000
chrX,8300000,13700000,100000
chrX,15000000,20300000,100000
chrX,20400000,20500000,100000
chrX,21400000,25100000,100000
chrX,27500000,28000000,100000
chrX,28700000,28800000,100000
chrX,29800000,30600000,100000
chrX,31000000,31600000,100000
chrX,32700000,32800000,100000
chrX,34700000,34900000,100000
chrX,37100000,37200000,100000
chrX,37400000,42000000,100000
chrX,42200000,42300000,100000
chrX,43400000,50100000,100000
chrX,50200000,50800000,100000
chrX,51300000,51800000,100000
chrX,52100000,52200000,100000
chrX,52600000,54800000,100000
chrX,56100000,56200000,100000
chrX,56500000,56700000,100000
chrX,57300000,57400000,100000
chrX,57500000,57600000,100000
chrX,60600000,60700000,100000
chrX,62200000,62500000,100000
chrX,63500000,63600000,100000
chrX,64500000,64600000,100000
chrX,65200000,69800000,100000
chrX,71000000,71100000,100000
chrX,71200000,71700000,100000
chrX,73000000,73100000,100000
chrX,74100000,74900000,100000
chrX,77500000,77600000,100000
chrX,78000000,78100000,100000
chrX,81800000,81900000,100000
chrX,82700000,82900000,100000
chrX,88500000,88600000,100000
chrX,93200000,94600000,100000
chrX,97400000,98500000,100000
chrX,99200000,101100000,100000
chrX,102500000,102700000,100000
chrX,103200000,105300000,100000
chrX,106200000,108000000,100000
chrX,108400000,108500000,100000
chrX,109400000,109600000,100000
chrX,111500000,112200000,100000
chrX,112700000,112800000,100000
chrX,114300000,117000000,100000
chrX,119400000,119600000,100000
chrX,119800000,120600000,100000
chrX,120700000,120800000,100000
chrX,121200000,121400000,100000
chrX,125600000,126700000,100000
chrX,126900000,127200000,100000
chrX,128000000,128100000,100000
chrX,128300000,128500000,100000
chrX,128600000,129300000,100000
chrX,129500000,133200000,100000
chrX,135900000,136200000,100000
chrX,137100000,137700000,100000
chrX,143900000,144000000,100000
chrX,144200000,144300000,100000
chrX,144400000,145000000,100000
chrX,145200000,145400000,100000
chrX,145500000,147100000,100000
chrX,148800000,151600000,100000
chrX,151700000,151900000,100000
