start,end,chrom,resolution
200000,400000,chrX,100000
2400000,2600000,chrX,100000
8300000,8500000,chrX,100000
9900000,10100000,chrX,100000
12400000,12600000,chrX,100000
13500000,13700000,chrX,100000
15000000,15200000,chrX,100000
15600000,15800000,chrX,100000
16200000,16400000,chrX,100000
16900000,17100000,chrX,100000
18000000,18200000,chrX,100000
20200000,20400000,chrX,100000
21300000,21500000,chrX,100000
21800000,22000000,chrX,100000
23300000,23500000,chrX,100000
24500000,24700000,chrX,100000
30100000,30300000,chrX,100000
30600000,30800000,chrX,100000
37400000,37800000,chrX,100000
38300000,38500000,chrX,100000
41400000,41600000,chrX,100000
43600000,43800000,chrX,100000
45000000,45200000,chrX,100000
46300000,46500000,chrX,100000
52000000,52200000,chrX,100000
52400000,52600000,chrX,100000
55800000,56000000,chrX,100000
63600000,63800000,chrX,100000
66500000,66700000,chrX,100000
66900000,67100000,chrX,100000
68700000,68900000,chrX,100000
69000000,69200000,chrX,100000
69900000,70100000,chrX,100000
71100000,71300000,chrX,100000
72800000,73000000,chrX,100000
74100000,74300000,chrX,100000
74800000,75000000,chrX,100000
77100000,77300000,chrX,100000
77800000,78000000,chrX,100000
92900000,93100000,chrX,100000
94200000,94400000,chrX,100000
97300000,97500000,chrX,100000
98500000,98700000,chrX,100000
99200000,99400000,chrX,100000
100300000,100500000,chrX,100000
100800000,101200000,chrX,100000
103300000,103500000,chrX,100000
105200000,105400000,chrX,100000
106200000,106400000,chrX,100000
107200000,107400000,chrX,100000
108200000,108400000,chrX,100000
110300000,110500000,chrX,100000
111800000,112000000,chrX,100000
112100000,112300000,chrX,100000
114400000,114600000,chrX,100000
116900000,117100000,chrX,100000
119700000,119900000,chrX,100000
120300000,120500000,chrX,100000
125500000,125700000,chrX,100000
126700000,126900000,chrX,100000
128100000,128300000,chrX,100000
129000000,129200000,chrX,100000
129500000,129700000,chrX,100000
133000000,133200000,chrX,100000
135800000,136000000,chrX,100000
136100000,136300000,chrX,100000
137000000,137200000,chrX,100000
137600000,137800000,chrX,100000
141700000,141900000,chrX,100000
142400000,142600000,chrX,100000
143800000,144000000,chrX,100000
147000000,147200000,chrX,100000
148600000,148800000,chrX,100000
150800000,151000000,chrX,100000
152000000,152200000,chrX,100000
153200000,153400000,chrX,100000
