chrom,start,end,resolution
chrX,300000,4400000,100000
chrX,5500000,10100000,100000
chrX,10900000,11000000,100000
chrX,11100000,11400000,100000
chrX,12300000,13800000,100000
chrX,14800000,15600000,100000
chrX,16100000,18100000,100000
chrX,18200000,19300000,100000
chrX,19600000,20100000,100000
chrX,23600000,24300000,100000
chrX,39400000,41500000,100000
chrX,46300000,50500000,100000
chrX,52500000,54600000,100000
chrX,68100000,68700000,100000
chrX,73000000,73900000,100000
chrX,74600000,74800000,100000
chrX,115100000,116800000,100000
chrX,125700000,127000000,100000
chrX,128800000,129100000,100000
chrX,130000000,133400000,100000
chrX,135900000,136400000,100000
chrX,136700000,138100000,100000
chrX,144700000,152000000,100000
chrX,152400000,153200000,100000
