chrom,start,end,resolution
chrX,900000,1200000,100000
chrX,1300000,4800000,100000
chrX,4900000,10500000,100000
chrX,10700000,11600000,100000
chrX,11700000,12000000,100000
chrX,12200000,13800000,100000
chrX,13900000,14000000,100000
chrX,14200000,14300000,100000
chrX,14600000,19300000,100000
chrX,19500000,20200000,100000
chrX,23400000,24400000,100000
chrX,38100000,38200000,100000
chrX,39100000,41500000,100000
chrX,43600000,43700000,100000
chrX,43800000,43900000,100000
chrX,45700000,45800000,100000
chrX,46300000,50700000,100000
chrX,52200000,52500000,100000
chrX,52700000,54600000,100000
chrX,54700000,55000000,100000
chrX,68100000,68400000,100000
chrX,104400000,104500000,100000
chrX,114700000,116900000,100000
chrX,119800000,120200000,100000
chrX,120300000,120600000,100000
chrX,125700000,127000000,100000
chrX,127100000,127300000,100000
chrX,127900000,128100000,100000
chrX,128300000,128500000,100000
chrX,128600000,133800000,100000
chrX,134900000,135000000,100000
chrX,135800000,136500000,100000
chrX,136600000,138400000,100000
chrX,139700000,139800000,100000
chrX,143900000,144100000,100000
chrX,144200000,151500000,100000
chrX,152600000,152700000,100000
