start,end,chrom,resolution
600000,800000,chrX,100000
2200000,2400000,chrX,100000
12700000,13000000,chrX,100000
17800000,18000000,chrX,100000
18300000,18500000,chrX,100000
18900000,19100000,chrX,100000
20000000,20200000,chrX,100000
20700000,20900000,chrX,100000
28600000,28800000,chrX,100000
30600000,31000000,chrX,100000
37100000,37300000,chrX,100000
40300000,40500000,chrX,100000
47100000,47300000,chrX,100000
50100000,50300000,chrX,100000
51400000,51600000,chrX,100000
56700000,56900000,chrX,100000
67400000,67600000,chrX,100000
71000000,71200000,chrX,100000
71600000,71800000,chrX,100000
74200000,74400000,chrX,100000
74700000,74900000,chrX,100000
77100000,77300000,chrX,100000
78500000,78700000,chrX,100000
79400000,79600000,chrX,100000
79900000,80100000,chrX,100000
80900000,81300000,chrX,100000
84300000,84500000,chrX,100000
89700000,89900000,chrX,100000
91600000,91800000,chrX,100000
97800000,98000000,chrX,100000
101000000,101200000,chrX,100000
103300000,103500000,chrX,100000
105200000,105400000,chrX,100000
106100000,106300000,chrX,100000
107900000,108200000,chrX,100000
108900000,109200000,chrX,100000
109500000,109700000,chrX,100000
112900000,113100000,chrX,100000
118700000,118900000,chrX,100000
120100000,120400000,chrX,100000
125800000,126000000,chrX,100000
127500000,127900000,chrX,100000
135300000,135500000,chrX,100000
138400000,138600000,chrX,100000
139200000,139400000,chrX,100000
139800000,140000000,chrX,100000
141100000,141300000,chrX,100000
144700000,144900000,chrX,100000
151400000,151600000,chrX,100000
152300000,152500000,chrX,100000
152800000,153000000,chrX,100000
