chrom,start,end,resolution,label
chrX,400000,600000,100000,start_edge
chrX,3200000,3400000,100000,end_edge
chrX,16200000,16400000,100000,start_edge
chrX,16600000,16800000,100000,end_edge
chrX,17800000,18000000,100000,start_edge
chrX,19000000,19200000,100000,end_edge
chrX,23500000,23700000,100000,start_edge
chrX,24100000,24300000,100000,end_edge
chrX,39200000,39400000,100000,start_edge
chrX,41400000,41600000,100000,end_edge
chrX,44200000,44400000,100000,start_edge
chrX,45500000,45700000,100000,end_edge
chrX,46300000,46500000,100000,start_edge
chrX,57700000,57900000,100000,end_edge
chrX,65200000,65400000,100000,start_edge
chrX,66500000,66700000,100000,end_edge
chrX,67000000,67200000,100000,start_edge
chrX,69200000,69400000,100000,end_edge
chrX,74200000,74400000,100000,start_edge
chrX,74700000,74900000,100000,end_edge
chrX,93300000,93500000,100000,start_edge
chrX,94600000,94800000,100000,end_edge
chrX,97400000,97600000,100000,start_edge
chrX,98300000,98500000,100000,end_edge
chrX,99300000,99500000,100000,start_edge
chrX,100300000,100500000,100000,end_edge
chrX,103500000,103700000,100000,start_edge
chrX,104700000,104900000,100000,end_edge
chrX,106400000,106600000,100000,start_edge
chrX,108700000,108900000,100000,end_edge
chrX,110400000,110600000,100000,start_edge
chrX,111900000,112100000,100000,end_edge
chrX,114400000,114600000,100000,start_edge
chrX,116900000,117100000,100000,end_edge
chrX,119700000,119900000,100000,start_edge
chrX,121100000,121300000,100000,end_edge
chrX,125600000,125800000,100000,start_edge
chrX,126600000,126800000,100000,end_edge
chrX,126900000,127100000,100000,start_edge
chrX,127000000,127200000,100000,end_edge
chrX,128000000,128200000,100000,start_edge
chrX,139600000,139800000,100000,end_edge
chrX,141000000,141200000,100000,start_edge
chrX,141600000,141800000,100000,end_edge
chrX,143600000,143800000,100000,start_edge
chrX,143800000,144000000,100000,end_edge
chrX,144400000,144600000,100000,start_edge
chrX,147200000,147400000,100000,end_edge
chrX,147300000,147500000,100000,start_edge
chrX,147500000,147700000,100000,end_edge
chrX,148600000,148800000,100000,start_edge
chrX,150200000,150400000,100000,end_edge
chrX,150300000,150500000,100000,start_edge
chrX,150400000,150600000,100000,end_edge
chrX,152100000,152300000,100000,start_edge
chrX,153200000,153400000,100000,end_edge
